,originBikeStation,destBikeStation,rawUberTripTime,pickupEstimate,uberTripDistance,uberTripValue,uberTripTime
143,426,160,1020,5,1.39,£6-8,1320
144,579,31,900,5,2.11,£6-9,1200
145,271,279,720,7,2.33,£6-9,1140
146,565,537,360,6,0.53,£5-6,720
147,466,126,780,4,2.15,£6-9,1020
148,732,130,660,6,1.07,£5-7,1020
149,66,491,1620,7,3.2,£9-13,2040
150,65,318,1140,9,1.6,£6-9,1680
151,58,95,720,4,1.48,£5-7,960
152,801,55,1200,6,2.15,£7-10,1560
153,61,194,300,3,0.63,£5-6,480
154,167,625,540,4,1.31,£5-7,780
155,101,154,900,5,2.2,£7-9,1200
156,50,466,300,4,0.91,£5-6,540
157,551,255,2880,6,9.63,£19-26,3240
158,107,298,1500,4,2.84,£9-12,1740
159,443,489,240,10,0.4,£5-6,840
160,227,695,480,5,0.99,£5-6,780
161,628,648,240,15,0.71,£5-6,1140
162,618,737,240,11,0.34,£5-6,900
163,614,794,600,12,1.9,£6-8,1320
164,159,77,1080,9,1.66,£6-9,1620
165,296,332,300,3,0.35,£5-6,480
166,11,325,1260,4,1.69,£7-9,1500
167,344,68,540,4,1.11,£5-6,780
168,773,199,960,5,1.16,£5-8,1260
169,101,122,960,5,1.17,£6-8,1260
170,441,305,360,6,0.96,£5-6,720
171,289,368,360,4,1.02,£5-6,600
172,58,577,660,4,1.51,£5-7,900
173,572,594,1560,3,2.74,£9-12,1740
174,792,252,420,6,0.79,£5-6,780
175,134,645,900,9,2.04,£6-9,1440
176,769,121,1860,12,4.81,£12-16,2580
177,680,527,1080,8,2.98,£8-11,1560
178,273,374,360,10,0.8,£5-6,960
179,471,321,1440,6,4.8,£11-15,1800
180,781,423,480,5,1.09,£5-6,780
181,773,162,720,5,1.23,£5-7,1020
182,465,96,180,6,0.45,£5-6,540
183,518,522,180,7,0.2,£5-6,600
184,172,646,900,6,2.15,£6-9,1260
185,58,478,780,4,1.88,£6-8,1020
186,305,192,1380,7,2.69,£8-11,1800
187,119,427,840,2,1.29,£5-7,960
188,305,737,1560,7,4.56,£11-14,1980
189,222,594,1680,2,2.4,£8-12,1800
190,459,519,660,6,2.44,£6-9,1020
191,772,669,240,8,0.6,£5-6,720
192,195,583,600,5,1.51,£5-7,900
