,randLat1,randLong1,randLat2,randLong2,oBike,dBike,coorDistance
0,51.49320445,-0.144132875,51.48478899,-0.110683213,268,149,1.5664327581489323
1,51.48321729,-0.211860644,51.47303687,-0.21474980800000001,761,681,0.713322677824906
2,51.53571683,-0.060291813,51.526293,-0.07395499999999999,718,322,0.8807167639105427
3,51.49738251,-0.089446947,51.51155322,-0.09294010000000001,61,101,0.9891242171945425
4,51.47696496,-0.17434706600000002,51.47993289,-0.19411695,700,737,0.883940098567512
5,51.51422502,-0.080660083,51.504749,-0.057544000000000005,263,458,1.1992133238926495
6,51.52554222,-0.138231303,51.517703000000004,-0.154106,98,400,0.8769914805459545
7,51.48478899,-0.110683213,51.498385999999996,-0.10791300000000001,149,548,0.9455246531866465
8,51.519656,-0.132339,51.51707521,-0.08668554199999999,364,55,1.9937041458763023
9,51.48805753,-0.140741432,51.51352755,-0.130110822,185,386,1.8165572442947262
10,51.520893,-0.051394,51.50963123,-0.11904756300000001,503,309,3.043448064537064
11,51.51461995,-0.137841333,51.528246,-0.10102611,159,344,1.8567354411442543
12,51.515256,-0.058641,51.51838043,-0.073438925,443,236,0.6787675738812065
13,51.520994,-0.139016,51.50748124,-0.20553590800000002,357,622,3.0397532357418484
14,51.468814,-0.210279,51.48373225,-0.22385225600000003,607,644,1.1862874242011934
15,51.49206037,-0.13222462199999999,51.474665,-0.18316517,267,780,2.5196983483774096
16,51.51593725,-0.11177834800000001,51.505461,-0.10454093,84,792,0.7881659597546595
17,51.50379168,-0.11282408,51.51707521,-0.08668554199999999,154,55,1.4601377306976144
18,51.46193072,-0.18079178399999998,51.49888404,-0.165471605,623,292,2.6344220573959376
19,51.487196000000004,-0.179369,51.50810309,-0.12602103,589,341,2.7319858887533686
20,51.51593725,-0.11177834800000001,51.51196803,-0.12071875900000001,84,335,0.4755724243165081
21,51.51746,-0.12335,51.51991453,-0.136039674,562,13,0.5773293585274681
22,51.50581776,-0.10018633699999999,51.50064702,-0.078600401,193,85,1.0043536074062227
23,51.517842,-0.090075,51.5154186,-0.098850915,509,71,0.41670864581321143
24,51.51991453,-0.136039674,51.49536226,-0.18529651600000002,13,128,2.7309124841861756
25,51.511246,-0.093051,51.51795029,-0.108657431,579,66,0.8213496469455002
26,51.46718562,-0.152248582,51.492461999999996,-0.159919,670,395,1.7750044849288074
27,51.5222641,-0.114079481,51.52683806,-0.130504336,22,214,0.7809700592342548
28,51.50274025,-0.14956920099999998,51.47287627,-0.176267008,213,701,2.3645733540497957
29,51.51882555,-0.10802847199999999,51.4908679,-0.116911864,67,310,1.9666321408890457
30,51.49914063,-0.112031483,51.52915444,-0.093421615,284,30,2.222747666654963
31,51.51746,-0.12335,51.50654321,-0.12317969699999999,562,229,0.752991459460134
32,51.472817,-0.199783,51.49418566,-0.18267094,596,405,1.6511225999794612
33,51.516226,-0.12482599999999999,51.52486887,-0.099489485,358,78,1.2529329787481291
34,51.49372451,-0.198286569,51.51632095,-0.202608612,142,661,1.569823128978367
35,51.52248185,-0.154907218,51.52536703,-0.153463612,257,315,0.20866865521458605
36,51.5031278,-0.078655507,51.50581776,-0.10018633699999999,818,193,0.9547057910554505
37,51.52200801,-0.151359288,51.52200801,-0.151359288,242,242,0.0
38,51.50040123,-0.195455928,51.50136494,-0.19146238100000001,168,133,0.18598648576403776
39,51.49874469,-0.103132904,51.521661200000004,-0.109006325,262,17,1.6011146316247806
40,51.50946212,-0.12474927400000001,51.51906932,-0.088285377,64,215,1.718888840096028
41,51.503493799999994,-0.07962099,51.519362,-0.074431,278,508,1.1175030756678395
42,51.50295379,-0.158456089,51.50295379,-0.158456089,303,303,0.0
43,51.533559999999994,-0.09315,51.52004497,-0.092176447,574,275,0.9331226821889077
44,51.50204238,-0.184400221,51.50311799,-0.153520935,404,191,1.3451721631421476
45,51.531864,-0.066035,51.528222,-0.069743,534,533,0.2985164101778719
46,51.49236962,-0.147478734,51.47768469,-0.17032931699999998,288,680,1.4190571618746703
47,51.52341837,-0.124121774,51.51733427,-0.10360424800000001,77,393,0.9861661595272861
48,51.52326004,-0.104708922,51.50379168,-0.11282408,135,154,1.3883943827353962
49,51.50274025,-0.14956920099999998,51.51227622,-0.15743697199999998,213,138,0.7414199285810517
50,51.51858757,-0.132053392,51.52683806,-0.130504336,88,214,0.5730294224548033
51,51.496481,-0.192404,51.50659035,-0.216104479,384,736,1.2445407817463907
52,51.490083,-0.162418,51.4737636,-0.19701009600000002,280,619,1.8790461104130542
53,51.49980661,-0.176415994,51.51616,-0.18697,373,568,1.217767494073427
54,51.50171544,-0.17985418399999997,51.5031278,-0.078655507,350,818,4.402813615658672
55,51.51251523,-0.133201961,51.49188409,-0.125674815,192,376,1.4601538731473724
56,51.528246,-0.10102611,51.52128377,-0.084605692,344,3,0.8606426123037465
57,51.535678000000004,-0.062546,51.53440868,-0.109025404,553,93,2.0235620485719084
58,51.51615461,-0.08242239900000001,51.50064702,-0.078600401,217,85,1.0824345628350884
59,51.5333196,-0.11178119999999998,51.5288338,-0.132250369,339,25,0.9425534666782724
60,51.50935342,-0.196422,51.51858757,-0.132053392,225,88,2.871303843138995
61,51.49087074,-0.20602974300000002,51.48814438,-0.22245646800000002,660,686,0.7388271012797315
62,51.53007835,-0.13884627,51.50908747,-0.129697889,21,325,1.5014747042362286
63,51.546805,-0.01469126,51.518153999999996,-0.062697,787,206,2.874898494274206
64,51.50597426,-0.09275415699999999,51.498385999999996,-0.10791300000000001,10,548,0.8418232316356249
