,oRandomLat,oRandomLong,dRandomLat,dRandomLong,oTrain,dTrain,oBike,oBikeCoords,dBike,dBikeCoords,bikeMins,trainMins
95,51.59831399952497,-0.14873824130103852,51.433068845137754,-0.09109021219766292,East Finchley,Brixton,"Allington street, Westminster","(51.5806125, -0.2282815)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",30,14.444444444444445
96,51.53814053039289,-0.10290420370280208,51.51792625027946,-0.06347959489704831,Angel,Whitechapel,"Islington Green, Angel","(51.5362381, -0.10310150000000001)","Old Montague Street, Whitechapel","(51.5181598, -0.06720519999999999)",11,14.359337105901375
97,51.473266940068186,-0.030166399220892995,51.48845298349823,-0.04675873904289159,New Cross,Surrey Quays,"Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",4,14.870292887029288
98,51.543515547353124,-0.062147141413261345,51.48769873413257,-0.2137401249302166,Bethnal Green,Barons Court,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Greyhound Road, Hammersmith","(51.4861679, -0.21420909999999999)",25,40.0
99,51.450610240755246,-0.025894906176130064,51.443023379425696,-0.021893983031250994,Lewisham,Lewisham,"Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",0,14.870292887029288
100,51.59434884694054,-0.09116441295108,51.49727109586255,-0.17058224607831265,Turnpike Lane,South Kensington,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Holy Trinity Brompton, Knightsbridge","(51.4978304, -0.16984749999999998)",24,37.0
101,51.55224253502652,-0.10615549244350747,51.5818675862952,-0.06779739221891025,Holloway Road,Seven Sisters,"Cloudesley Road, Angel","(51.5366251, -0.1097333)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",7,20.763257575757574
102,51.45349487397011,-0.17721531324515719,51.59067496529777,-0.06338255837815317,Clapham South,Tottenham Hale,"Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",34,43.0
103,51.60832854733708,-0.016816162584514613,51.45321638469064,-0.10843646620264798,Walthamstow Central,Brixton,"Lee Valley VeloPark, Queen Elizabeth Olympic Park","(51.550659, -0.015266)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",35,31.2
105,51.52916657796863,-0.08548543604195384,51.50138491060795,-0.19853129000146613,Old Street,High Street Kensington,"East Road, Hoxton","(51.5290446, -0.08740319999999999)","Phillimore Gardens, Kensington","(51.500916700000005, -0.19885429999999998)",21,89.2
106,51.459228724944495,-0.19149488209771778,51.468276766650575,-0.030799385261360016,East Putney,Deptford Bridge,"Morie Street, Wandsworth","(51.4598813, -0.1900457)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",50,72.0
107,51.53978690846773,-0.08602946501722412,51.42789615564719,-0.07579669589858883,Highbury & Islington,Brixton,"Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",22,16.25658914728682
108,51.451835905036184,-0.1421789835844065,51.5820942572679,-0.13216562500139795,Clapham South,Highgate,"Clapham Common North Side, Clapham Common","(51.461240999999994, -0.1525693)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",31,15.076734693877551
109,51.42368360734033,-0.01910809580570734,51.52346430882447,-0.17376817047680393,Lewisham,Edgware Road (C),"Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)","Frampton Street, Paddington","(51.524897700000004, -0.1727727)",43,47.75
110,51.45420842252366,-0.0954757732599531,51.57548776754782,-0.14985871580027404,Brixton,Highgate,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",28,14.150943396226415
111,51.53422916781091,-0.17025402805421663,51.57784005139954,-0.11498143489552802,St. John's Wood,Manor House,"Charlbert Street, St. John's Wood","(51.53415150000001, -0.16790629999999998)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",19,15.729323308270676
112,51.603351504632776,-0.07981013058006602,51.471327875413564,-0.213305109415855,Turnpike Lane,Putney Bridge,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Bishop's Avenue, Fulham","(51.4727136, -0.2152741)",35,40.0
113,51.41816413240126,-0.04829248218330966,51.476216806440355,-0.1624790551999786,Lewisham,Sloane Square,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Prince of Wales Drive, Battersea Park","(51.474687599999996, -0.1627007)",39,19.75480769230769
114,51.47154043436352,-0.17850145813725288,51.551035684238,-0.06056564348354061,Fulham Broadway,Bethnal Green,"Vicarage Crescent, Battersea","(51.4742548, -0.1765629)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",25,45.0
115,51.52208626611287,-0.20542868468245765,51.5474155449387,-0.07758528597532201,Westbourne Park,Highbury & Islington,"Bevington Road West, North Kensington","(51.5208259, -0.2076607)","Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)",20,316.5294117647059
116,51.59795232061433,-0.06762989498316381,51.54978968829002,-0.1852556539823429,Tottenham Hale,Finchley Road,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Wellington Road, St. John's Wood","(51.5343659, -0.17422870000000001)",26,37.57142857142857
117,51.51163269712418,-0.14664873859038885,51.53268195563122,-0.04947695338961293,Bond Street,Bethnal Green,"Bruton Street, Mayfair","(51.51058459999999, -0.14458510000000002)","York Hall, Bethnal Green","(51.5301403, -0.0551682)",15,27.913934426229506
118,51.49415654880357,-0.05680144815405226,51.50150182299807,-0.15920545154813515,Bermondsey,Knightsbridge,"Wapping High Street, Wapping","(51.5034591, -0.0616763)","Seville Street, Knightsbridge","(51.50170989999999, -0.1592299)",15,34.34343434343434
119,51.501193990906216,-0.044814673296370997,51.58666725760067,-0.04071282886090012,Canada Water,Blackhorse Road,"Garnet Street, Shadwell","(51.5077778, -0.05501209999999999)","Lee Valley VeloPark, Queen Elizabeth Olympic Park","(51.550659, -0.015266)",29,15.701058201058201
