,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
793,235,646,600,1.43
794,225,330,480,1.32
795,107,365,300,0.39
796,357,239,300,0.37
797,224,157,480,1.46
798,292,800,660,1.73
799,101,361,840,1.77
800,248,350,360,0.65
801,127,71,300,0.39
802,355,144,300,0.36
803,229,773,600,1.35
804,289,138,300,0.47
805,719,785,780,2.67
806,39,18,1140,2.75
807,508,427,840,1.21
808,227,339,300,0.49
809,225,155,360,1.24
810,533,479,300,0.64
811,802,709,1920,5.17
812,610,152,1200,4.11
813,532,801,1560,4.58
814,811,87,1260,3.31
815,383,562,480,0.57
816,264,67,360,0.77
817,496,715,660,1.95
818,587,282,660,2.03
819,41,154,1200,2.79
820,727,617,240,0.42
821,119,695,540,1.31
822,442,394,900,2.48
823,401,104,1080,1.71
824,647,595,300,0.82
825,3,136,600,1.35
826,321,272,600,1.57
827,347,603,600,1.84
828,712,552,480,1.38
829,762,248,900,3.03
830,345,769,600,1.61
831,465,96,300,0.45
832,573,172,240,0.54
833,16,751,540,0.95
834,94,278,540,0.96
835,254,275,540,1.56
836,318,489,1800,4.02
837,393,45,1560,3.69
838,14,320,1680,4.5
839,441,573,1560,3.98
840,516,447,420,1.49
841,564,226,600,1.23
842,275,192,1080,2.11
843,615,382,1500,4.66
844,663,611,300,0.89
845,340,199,360,0.47
846,508,819,1200,3.19
847,18,365,840,1.94
848,74,631,360,1.18
849,169,343,840,2.36
850,331,779,600,1.2
851,818,5,1680,4.95
852,368,191,240,0.44
853,31,574,360,0.68
854,726,276,1800,4.85
855,17,235,900,2.14
856,230,194,300,0.51
857,148,18,900,2.35
858,118,360,300,0.32
859,143,100,840,2.47
860,132,199,1020,1.2
861,404,303,360,1.16
862,225,661,240,0.59
863,495,511,840,2.41
864,83,278,1260,3.17
865,820,409,480,0.52
866,248,307,360,1.16
867,104,645,720,1.73
868,779,732,720,1.51
869,772,411,960,2.45
870,503,33,540,0.89
871,156,129,1500,3.02
872,185,138,900,2.35
873,780,685,720,2.24
874,727,737,300,0.81
875,101,66,540,1.12
876,170,427,540,1.55
877,230,85,600,1.65
878,6,431,840,1.86
879,529,219,420,1.35
880,495,39,1080,3.07
881,395,589,480,1.17
882,136,819,720,1.53
883,43,383,900,2.01
884,428,182,720,2.25
885,642,638,240,0.37
886,708,667,1260,3.06
887,101,194,420,0.89
888,404,350,300,0.23
889,229,503,1500,3.42
890,266,307,360,1.04
891,222,166,300,0.68
892,374,112,780,1.87
893,707,2,600,1.62
894,203,192,1080,1.71
895,31,67,660,1.69
896,376,349,960,2.71
897,169,213,420,1.25
898,50,699,420,1.39
899,730,693,960,2.95
900,225,24,1500,4.07
901,156,645,360,0.68
902,78,273,840,2.02
903,595,774,840,2.36
904,55,443,600,1.4
905,570,547,360,1.39
906,202,87,480,0.98
907,100,18,840,2.3
908,202,732,660,1.63
909,669,270,600,1.38
910,143,163,300,0.51
911,185,294,300,0.28
912,235,17,900,2.28
913,112,154,720,1.97
914,733,514,480,1.41
915,14,57,420,0.85
916,376,270,360,1.05
917,735,675,300,0.69
918,25,78,780,2.25
919,40,73,420,1.03
920,412,641,600,1.3
921,6,279,540,1.87
922,132,721,780,2.39
923,360,221,360,0.56
924,206,712,420,1.36
925,357,64,720,1.59
926,395,424,300,0.64
927,133,216,480,1.18
928,132,574,720,1.4
929,404,307,360,0.83
930,114,590,540,1.37
931,64,139,660,1.47
932,104,523,1020,3.45
933,498,789,360,1.41
934,542,537,600,1.97
935,634,163,840,2.54
936,226,231,840,2.52
937,25,26,420,1.18
938,613,753,540,1.56
939,684,675,420,1.1
940,116,88,540,1.12
941,564,303,840,2.25
942,132,107,780,1.19
943,489,553,840,2.03
944,50,466,420,0.91
945,706,411,540,1.33
946,19,299,1260,2.99
947,717,264,660,2.35
948,73,478,840,2.19
949,506,600,1860,4.31
950,218,710,480,1.16
951,37,596,600,1.73
952,73,253,300,0.67
953,263,101,600,0.93
954,296,737,600,1.77
955,792,583,600,1.74
956,361,32,1200,3.44
957,93,577,1440,3.88
958,513,130,960,1.45
959,664,172,600,1.69
960,446,451,900,2.59
961,292,225,600,2.03
962,565,489,480,0.79
963,511,199,900,1.8
964,654,270,420,0.88
965,72,240,720,1.38
966,636,690,900,2.68
967,648,691,360,1.03
968,280,424,300,0.72
969,272,61,480,1.27
970,300,644,1140,3.55
971,381,396,540,1.55
972,759,188,360,0.7
973,624,85,1680,4.26
974,364,361,1140,2.71
975,246,154,840,2.22
976,660,392,840,2.17
977,42,126,540,1.33
978,275,427,420,0.86
979,14,89,300,0.57
980,264,254,300,0.43
981,270,432,1200,3.15
982,155,405,300,0.63
983,679,584,1560,3.66
984,742,595,840,2.44
985,810,718,1740,3.93
986,810,374,600,1.38
987,2,770,360,1.1
988,587,195,720,1.33
989,89,88,720,1.69
990,73,13,1200,3.36
991,695,154,1500,3.2
992,243,762,480,0.95
993,358,107,840,1.84
994,155,157,300,0.35
995,48,510,1380,3.44
996,485,446,300,0.4
997,230,174,720,1.38
998,119,331,360,0.85
999,546,361,840,1.9
1000,248,224,600,1.43
1001,197,762,600,1.33
1002,785,788,240,0.81
1003,294,268,300,0.52
1004,108,14,1560,2.93
1005,173,27,600,1.19
1006,242,255,600,2.07
1007,217,374,1080,2.51
1008,47,255,240,0.31
1009,428,708,1500,4.21
1010,374,102,1560,3.07
1011,222,192,600,1.27
1012,18,54,960,1.85
1013,290,287,960,2.52
1014,322,553,540,1.39
1015,215,809,720,1.77
1016,405,219,300,0.62
1017,796,21,420,1.07
1018,727,632,1020,3.13
1019,169,562,1080,2.05
1020,28,211,960,3.04
1021,195,154,420,1.04
1022,626,37,360,1.07
1023,375,255,840,2.73
1024,14,658,2160,5.9
1025,263,574,900,1.91
1026,806,326,780,2.16
1027,233,457,1260,2.77
1028,576,586,300,1.14
1029,2,386,1080,3.37
1030,149,64,1260,2.9
1031,213,307,720,2.3
1032,433,374,900,2.62
1033,452,818,600,0.95
1034,265,12,900,2.32
1035,58,154,1440,3.39
1036,768,430,1020,3.03
1037,289,367,480,1.08
1038,286,121,600,1.18
1039,785,469,780,2.57
1040,579,511,660,1.96
1041,197,185,900,2.44
1042,146,815,480,1.23
1043,769,737,360,0.53
1044,587,240,780,1.45
1045,167,270,720,1.43
1046,222,266,660,1.69
1047,99,312,780,1.5
1048,87,104,480,0.73
1049,797,737,2460,5.99
1050,252,193,540,0.97
1051,427,119,540,1.05
1052,150,807,1140,3.54
1053,456,114,720,2.13
1054,77,162,540,1.16
1055,27,64,720,1.44
1056,132,32,420,0.51
1057,50,251,540,1.18
1058,37,163,720,1.72
1059,307,404,300,0.83
1060,397,177,1140,2.81
1061,466,542,1140,3.07
1062,233,5,900,2.25
1063,268,558,540,1.16
1064,354,568,1680,3.84
1065,345,621,1140,3.02
1066,170,372,660,1.31
1067,545,663,1320,4.25
1068,22,374,1020,2.44
1069,52,365,300,0.61
1070,114,713,720,2.01
1071,520,132,540,1.47
1072,597,97,900,2.56
1073,290,354,1620,3.36
1074,757,781,540,1.38
1075,199,10,420,0.79
1076,617,693,600,0.75
