,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
1,237,134,240,0.38
2,402,133,720,2.57
3,14,227,240,0.57
4,721,399,780,2.88
5,191,300,360,1.2
6,579,183,1020,3.68
7,39,732,720,1.69
8,671,729,240,0.44
9,335,501,1380,4.07
10,67,1,360,0.93
11,773,272,480,1.08
13,361,556,1620,5.21
14,11,431,360,1.03
15,626,727,240,0.85
16,251,446,540,1.45
17,303,404,300,1.15
18,436,11,300,0.83
19,590,247,240,0.25
20,282,487,600,1.9
21,266,638,780,3.1
22,378,290,720,2.45
23,52,154,960,2.52
24,183,155,1020,3.78
25,356,400,840,2.59
26,625,596,780,2.93
27,492,206,420,1.28
28,217,591,1740,8.37
30,253,588,180,0.55
31,55,427,360,0.81
32,14,24,420,1.2
33,106,126,1380,3.05
34,646,102,1080,3.6
35,488,552,300,0.59
36,615,682,360,1.41
37,85,272,660,2.32
38,695,55,600,2.04
39,359,333,780,3.38
40,196,104,540,1.47
41,601,647,480,1.57
42,727,765,240,0.78
43,593,126,420,1.69
44,565,206,300,0.32
45,263,174,660,2.15
46,159,356,840,2.71
47,771,566,360,1.34
48,650,379,240,0.76
49,209,671,660,2.4
50,481,510,480,2.41
51,7,650,780,2.8
52,202,46,300,0.39
53,17,587,780,2.09
54,275,48,420,0.99
55,83,183,900,2.89
56,368,299,540,1.36
57,551,554,360,1.41
58,412,5,900,3.31
59,624,772,240,0.69
60,219,673,600,2.69
62,340,421,480,1.35
63,14,141,660,1.9
64,421,542,1080,4.12
65,192,264,960,2.32
66,356,163,240,0.72
67,660,696,240,0.78
68,85,136,660,2.19
69,104,449,480,1.36
70,49,330,600,2.02
71,515,177,900,3.74
72,733,762,420,1.24
73,573,105,660,2.48
74,448,28,1800,7.17
75,680,345,360,1.01
76,191,303,240,0.21
77,115,465,660,1.95
78,224,47,360,1.08
79,4,88,480,1.58
81,517,499,360,1.66
82,787,785,360,1.03
83,323,246,360,1.05
84,350,303,240,0.93
85,345,747,240,0.34
86,111,622,660,2.29
87,169,239,660,2.09
88,152,376,660,2.59
89,216,288,540,1.79
90,762,116,840,1.71
91,85,260,1260,4.12
92,39,275,420,1.14
93,373,620,540,2.06
94,433,77,300,0.66
95,71,717,780,2.52
96,122,254,600,2.25
97,676,364,1140,3.99
98,489,235,1140,3.22
99,176,276,1560,6.14
