,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
0,9,284,420,1.15
1,307,213,600,2.15
2,128,356,300,0.75
4,298,308,300,0.81
5,535,255,420,1.83
6,28,213,720,1.89
7,104,252,720,2.28
8,77,104,900,2.69
9,569,48,600,2.1
10,101,281,660,2.44
11,480,66,1080,3.75
12,167,573,600,2.0
13,254,159,840,2.27
14,404,397,480,1.61
15,136,361,600,1.84
16,136,272,540,1.48
17,224,168,480,1.53
18,719,251,720,1.97
19,202,732,540,1.63
20,579,85,600,1.67
21,496,553,720,3.83
22,587,475,840,3.61
23,73,517,900,2.8
24,448,134,660,3.16
25,388,706,1080,3.02
26,289,177,540,1.32
27,445,57,1080,2.86
28,192,703,900,2.2
29,671,729,240,0.44
30,675,684,300,1.16
31,671,636,360,1.68
32,177,108,300,0.83
33,24,18,300,0.59
34,89,383,900,2.05
35,272,397,1380,4.36
36,616,157,480,2.19
37,251,109,1080,2.97
38,568,6,720,2.34
39,534,68,840,2.43
40,731,737,240,0.36
41,194,253,900,2.53
42,508,521,720,2.23
43,686,430,660,2.51
44,149,440,240,0.17
45,48,520,1140,2.7
46,251,71,540,1.15
47,251,717,600,1.46
48,192,245,1020,3.04
49,107,15,780,2.14
50,367,428,540,1.73
51,700,607,600,2.49
52,395,158,540,2.14
53,251,399,300,0.63
54,579,248,1200,4.74
55,99,428,540,2.09
56,381,806,720,1.8
57,708,191,1260,4.94
58,132,506,360,0.65
59,612,281,600,2.38
60,251,335,900,2.34
61,510,458,420,2.01
62,38,378,300,0.94
63,282,508,420,0.91
64,392,680,420,1.75
65,609,144,720,3.02
66,320,437,360,1.16
67,382,292,420,1.5
68,520,512,360,1.08
69,591,771,300,0.82
70,174,361,480,1.37
71,32,273,840,2.59
72,95,365,300,0.85
73,206,577,420,1.2
74,405,373,240,0.71
75,466,39,300,0.6
76,104,101,480,1.0
77,21,70,480,1.35
78,238,260,840,2.53
79,699,446,360,1.21
80,790,466,900,3.76
81,628,150,840,2.78
82,553,348,1860,6.04
83,298,732,480,1.05
84,336,141,960,2.43
85,592,128,540,2.03
86,66,188,1020,3.6
87,139,710,720,2.91
88,521,518,240,0.64
89,739,19,1320,7.38
90,43,396,240,0.38
91,436,14,420,1.22
92,815,333,1140,4.66
93,66,154,660,1.95
94,174,773,420,0.96
95,194,703,600,1.66
96,227,301,840,2.39
97,710,356,600,2.22
99,486,40,360,0.56
