,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
0,25,801,1380,3.09
1,119,569,300,0.72
2,213,300,540,1.62
3,364,77,360,0.9
4,229,74,720,2.22
5,729,782,240,0.75
6,290,400,480,1.25
7,804,545,480,1.2
8,217,48,420,0.99
9,516,470,540,2.34
10,173,295,540,1.2
11,658,345,360,0.88
12,119,237,840,1.81
13,213,226,420,1.47
14,747,356,360,0.96
15,229,132,1500,3.45
16,102,228,1080,3.1
17,124,192,840,1.87
18,796,703,540,1.44
19,233,284,600,1.33
20,251,104,480,0.96
21,278,223,480,1.49
22,703,419,1200,3.8
23,548,95,840,2.16
24,148,118,300,0.47
25,94,10,540,1.58
26,662,430,240,0.57
27,325,440,960,2.6
28,4,546,720,1.92
29,126,78,240,0.61
30,234,465,540,1.55
31,289,138,300,0.47
32,775,277,600,1.78
33,224,353,1200,3.74
34,101,73,540,1.58
35,217,732,540,1.15
36,427,818,540,1.37
37,267,529,720,2.04
38,562,14,480,1.39
40,167,252,780,2.24
41,478,692,600,2.27
42,46,31,900,2.52
43,27,73,600,1.7
44,350,111,480,1.71
45,638,700,360,1.09
46,610,589,360,0.83
47,747,345,240,0.34
48,292,405,360,0.91
49,716,570,540,1.58
50,716,779,1020,3.09
51,215,42,420,1.03
52,699,107,600,1.82
53,170,427,600,1.55
54,141,742,1140,3.74
55,532,576,300,0.83
56,639,266,660,1.96
57,154,136,720,1.49
58,95,512,780,2.18
59,595,717,2580,9.46
60,430,376,840,2.74
61,372,57,420,1.34
62,180,558,780,2.48
63,88,541,960,1.95
64,768,230,1560,4.73
65,257,99,360,0.77
66,108,703,900,2.19
67,275,83,1080,2.3
68,773,583,600,1.69
69,685,737,600,2.46
70,685,673,360,1.24
71,253,499,1260,3.75
72,191,300,420,1.2
73,632,739,600,1.58
74,632,800,480,1.42
75,41,361,1020,2.88
76,662,684,840,3.0
77,821,375,1080,3.58
78,271,713,360,0.97
79,197,227,900,2.61
81,717,401,300,0.71
82,247,661,660,2.37
83,386,184,600,1.23
84,233,288,900,1.71
85,233,228,300,0.53
86,252,18,360,1.14
87,365,78,300,0.52
88,381,343,600,1.72
89,222,762,540,1.29
90,191,109,840,2.12
91,172,265,840,2.74
92,656,178,1020,3.6
93,319,732,960,1.83
94,104,454,1080,4.18
95,203,558,1020,3.18
96,132,126,540,1.46
97,62,196,480,1.23
98,457,264,780,2.64
99,66,308,780,2.43
