,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
0,421,230,360,0.28
1,124,514,600,1.76
2,134,551,900,3.66
3,246,18,540,1.38
5,14,12,660,1.37
6,457,820,1920,5.26
7,101,333,1740,5.29
8,251,140,420,0.93
9,747,735,840,2.23
10,363,239,660,2.16
11,307,157,300,1.01
12,529,428,480,1.35
13,719,132,540,1.49
14,39,202,840,1.07
15,101,3,600,1.08
16,121,397,600,1.87
17,116,436,900,1.68
18,83,109,480,0.54
19,184,400,240,0.53
20,428,250,600,1.73
21,826,218,540,1.48
22,180,167,660,1.83
23,696,392,900,2.51
24,789,556,900,3.53
25,114,53,840,2.08
26,574,71,540,1.83
27,41,119,540,0.71
28,264,478,1260,3.32
29,72,232,480,1.0
30,12,105,1200,3.53
31,397,742,540,1.58
32,393,331,420,0.86
33,318,541,420,1.07
34,529,710,360,1.07
35,161,185,300,0.61
36,117,74,420,1.22
37,133,258,300,0.6
38,72,215,480,1.2
39,572,806,480,1.33
40,186,367,300,0.62
41,134,452,300,0.14
42,82,112,420,0.84
43,235,646,600,1.43
44,225,330,480,1.32
45,107,365,300,0.39
46,357,239,300,0.37
47,224,157,480,1.46
48,292,800,660,1.73
49,101,361,840,1.77
50,248,350,360,0.65
51,127,71,300,0.39
52,355,144,300,0.36
53,229,773,600,1.35
54,289,138,300,0.47
55,719,785,780,2.67
56,39,18,1140,2.75
57,508,427,840,1.21
58,227,339,300,0.49
59,225,155,360,1.24
60,533,479,300,0.64
61,802,709,1920,5.17
62,610,152,1200,4.11
63,532,801,1560,4.58
64,811,87,1260,3.31
65,383,562,480,0.57
66,264,67,360,0.77
67,496,715,660,1.95
68,587,282,660,2.03
69,41,154,1200,2.79
70,727,617,240,0.42
71,119,695,540,1.31
72,442,394,900,2.48
73,401,104,1080,1.71
74,647,595,300,0.82
75,3,136,600,1.35
76,321,272,600,1.57
77,347,603,600,1.84
78,712,552,480,1.38
79,762,248,900,3.03
80,345,769,600,1.61
81,465,96,300,0.45
82,573,172,240,0.54
83,16,751,540,0.95
84,94,278,540,0.96
85,254,275,540,1.56
86,318,489,1800,4.02
87,393,45,1560,3.69
88,14,320,1680,4.5
89,441,573,1560,3.98
90,516,447,420,1.49
91,564,226,600,1.23
92,275,192,1080,2.11
93,615,382,1500,4.66
94,663,611,300,0.89
95,340,199,360,0.47
96,508,819,1200,3.19
97,18,365,840,1.94
98,74,631,360,1.18
99,169,343,840,2.36
