,estimate,trip,pickup_estimate
0,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.29, 'display_amount': '2.46-3.29', 'display_name': 'Distance', 'low_amount': 2.46}, {'high_amount': 2.44, 'display_amount': '1.83-2.44', 'display_name': 'Time', 'low_amount': 1.83}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 2.19}",7
1,"{'surge_confirmation_href': None, 'high_estimate': 15, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 11, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 6.46, 'display_amount': '4.85-6.46', 'display_name': 'Distance', 'low_amount': 4.85}, {'high_amount': 5.51, 'display_amount': '4.14-5.51', 'display_name': 'Time', 'low_amount': 4.14}], 'surge_multiplier': 1.0, 'display': '£11-15', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1860, 'distance_estimate': 4.31}",8
2,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.75, 'display_amount': '1.31-1.75', 'display_name': 'Distance', 'low_amount': 1.31}, {'high_amount': None, 'display_amount': '0.17', 'display_name': '£5.00 Minimum', 'low_amount': 0.17}, {'high_amount': 1.36, 'display_amount': '1.02-1.36', 'display_name': 'Time', 'low_amount': 1.02}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 1.16}",13
3,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.6, 'display_amount': '1.95-2.6', 'display_name': 'Distance', 'low_amount': 1.95}, {'high_amount': 1.87, 'display_amount': '1.4-1.87', 'display_name': 'Time', 'low_amount': 1.4}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 1.73}",14
4,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.0, 'display_amount': '0.75-1', 'display_name': 'Distance', 'low_amount': 0.75}, {'high_amount': 0.6, 'display_amount': '1.08-0.6', 'display_name': '£5.00 Minimum', 'low_amount': 1.08}, {'high_amount': 0.9, 'display_amount': '0.67-0.9', 'display_name': 'Time', 'low_amount': 0.67}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 300, 'distance_estimate': 0.67}",7
5,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.39, 'display_amount': '1.04-1.39', 'display_name': 'Distance', 'low_amount': 1.04}, {'high_amount': None, 'display_amount': '0.04', 'display_name': '£5.00 Minimum', 'low_amount': 0.04}, {'high_amount': 1.89, 'display_amount': '1.42-1.89', 'display_name': 'Time', 'low_amount': 1.42}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 0.93}",7
6,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.66, 'display_amount': '1.99-2.66', 'display_name': 'Distance', 'low_amount': 1.99}, {'high_amount': 1.72, 'display_amount': '1.29-1.72', 'display_name': 'Time', 'low_amount': 1.29}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 1.77}",12
7,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.6, 'display_amount': '1.95-2.6', 'display_name': 'Distance', 'low_amount': 1.95}, {'high_amount': 1.76, 'display_amount': '1.32-1.76', 'display_name': 'Time', 'low_amount': 1.32}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 1.74}",9
8,"{'surge_confirmation_href': None, 'high_estimate': 12, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 9, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 5.16, 'display_amount': '3.88-5.16', 'display_name': 'Distance', 'low_amount': 3.88}, {'high_amount': 3.63, 'display_amount': '2.72-3.63', 'display_name': 'Time', 'low_amount': 2.72}], 'surge_multiplier': 1.0, 'display': '£9-12', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1200, 'distance_estimate': 3.44}",9
9,"{'surge_confirmation_href': None, 'high_estimate': 13, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 10, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 5.81, 'display_amount': '4.36-5.81', 'display_name': 'Distance', 'low_amount': 4.36}, {'high_amount': 4.28, 'display_amount': '3.21-4.28', 'display_name': 'Time', 'low_amount': 3.21}], 'surge_multiplier': 1.0, 'display': '£10-13', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1440, 'distance_estimate': 3.88}",13
