,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
0,331,779,600,1.2
1,818,5,1680,4.95
2,368,191,240,0.44
3,31,574,360,0.68
4,726,276,1800,4.85
5,17,235,900,2.14
6,230,194,300,0.51
7,148,18,900,2.35
8,118,360,300,0.32
9,143,100,840,2.47
10,132,199,1020,1.2
11,404,303,360,1.16
12,225,661,240,0.59
13,495,511,840,2.41
14,83,278,1260,3.17
15,820,409,480,0.52
16,248,307,360,1.16
17,104,645,720,1.73
18,779,732,720,1.51
19,772,411,960,2.45
20,503,33,540,0.89
21,156,129,1500,3.02
22,185,138,900,2.35
23,780,685,720,2.24
24,727,737,300,0.81
25,101,66,540,1.12
26,170,427,540,1.55
27,230,85,600,1.65
28,6,431,840,1.86
29,529,219,420,1.35
30,495,39,1080,3.07
31,395,589,480,1.17
32,136,819,720,1.53
33,43,383,900,2.01
34,428,182,720,2.25
35,642,638,240,0.37
36,708,667,1260,3.06
37,101,194,420,0.89
38,404,350,300,0.23
39,229,503,1500,3.42
40,266,307,360,1.04
41,222,166,300,0.68
42,374,112,780,1.87
43,707,2,600,1.62
44,203,192,1080,1.71
45,31,67,660,1.69
46,376,349,960,2.71
47,169,213,420,1.25
48,50,699,420,1.39
49,730,693,960,2.95
50,225,24,1500,4.07
51,156,645,360,0.68
52,78,273,840,2.02
53,595,774,840,2.36
54,55,443,600,1.4
55,570,547,360,1.39
56,202,87,480,0.98
57,100,18,840,2.3
58,202,732,660,1.63
59,669,270,600,1.38
60,143,163,300,0.51
62,185,294,300,0.28
63,235,17,900,2.28
64,112,154,720,1.97
65,733,514,480,1.41
66,14,57,420,0.85
67,376,270,360,1.05
68,735,675,300,0.69
69,25,78,780,2.25
70,40,73,420,1.03
71,412,641,600,1.3
72,6,279,540,1.87
73,132,721,780,2.39
74,360,221,360,0.56
75,206,712,420,1.36
76,357,64,720,1.59
77,395,424,300,0.64
78,133,216,480,1.18
79,132,574,720,1.4
80,404,307,360,0.83
81,114,590,540,1.37
82,64,139,660,1.47
83,104,523,1020,3.45
84,498,789,360,1.41
86,542,537,600,1.97
87,634,163,840,2.54
88,226,231,840,2.52
89,25,26,420,1.18
90,613,753,540,1.56
91,684,675,420,1.1
92,116,88,540,1.12
93,564,303,840,2.25
94,132,107,780,1.19
95,489,553,840,2.03
96,50,466,420,0.91
97,706,411,540,1.33
98,19,299,1260,2.99
99,717,264,660,2.35
