,estimate,trip,pickup_estimate
0,"{'surge_confirmation_href': None, 'high_estimate': 16, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 12, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 7.49, 'display_amount': '5.61-7.49', 'display_name': 'Distance', 'low_amount': 5.61}, {'high_amount': 5.58, 'display_amount': '4.19-5.58', 'display_name': 'Time', 'low_amount': 4.19}], 'surge_multiplier': 1.0, 'display': '£12-16', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1860, 'distance_estimate': 4.99}",13
1,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.83, 'display_amount': '1.38-1.83', 'display_name': 'Distance', 'low_amount': 1.38}, {'high_amount': 2.63, 'display_amount': '1.97-2.63', 'display_name': 'Time', 'low_amount': 1.97}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 900, 'distance_estimate': 1.22}",16
2,"{'surge_confirmation_href': None, 'high_estimate': 10, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 8, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.88, 'display_amount': '2.91-3.88', 'display_name': 'Distance', 'low_amount': 2.91}, {'high_amount': 3.52, 'display_amount': '2.64-3.52', 'display_name': 'Time', 'low_amount': 2.64}], 'surge_multiplier': 1.0, 'display': '£8-10', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1200, 'distance_estimate': 2.59}",11
3,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/5d8f7bcd-519e-4023-b59d-add51339fe02', 'high_estimate': 8, 'expires_at': 1542133817, 'surge_confirmation_id': '5d8f7bcd-519e-4023-b59d-add51339fe02', 'minimum': 6, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 0.78, 'display_amount': '0.58-0.78', 'display_name': 'Distance', 'low_amount': 0.58}, {'high_amount': 0.86, 'display_amount': '1.27-0.86', 'display_name': '£5.00 Minimum', 'low_amount': 1.27}, {'high_amount': 1.0, 'display_amount': '1', 'display_name': 'Surge x1.2', 'low_amount': 1.0}, {'high_amount': 0.86, 'display_amount': '0.65-0.86', 'display_name': 'Time', 'low_amount': 0.65}], 'surge_multiplier': 1.2, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 300, 'distance_estimate': 0.51}",22
4,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.75, 'display_amount': '2.81-3.75', 'display_name': 'Distance', 'low_amount': 2.81}, {'high_amount': 2.71, 'display_amount': '2.03-2.71', 'display_name': 'Time', 'low_amount': 2.03}], 'surge_multiplier': 1.0, 'display': '£7-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 900, 'distance_estimate': 2.5}",18
5,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 0.26, 'display_amount': '0.2-0.26', 'display_name': 'Distance', 'low_amount': 0.2}, {'high_amount': 1.69, 'display_amount': '1.89-1.69', 'display_name': '£5.00 Minimum', 'low_amount': 1.89}, {'high_amount': 0.55, 'display_amount': '0.41-0.55', 'display_name': 'Time', 'low_amount': 0.41}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 180, 'distance_estimate': 0.18}",13
6,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.61, 'display_amount': '2.71-3.61', 'display_name': 'Distance', 'low_amount': 2.71}, {'high_amount': 2.75, 'display_amount': '2.06-2.75', 'display_name': 'Time', 'low_amount': 2.06}], 'surge_multiplier': 1.0, 'display': '£7-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 900, 'distance_estimate': 2.41}",7
7,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.75, 'display_amount': '2.06-2.75', 'display_name': 'Distance', 'low_amount': 2.06}, {'high_amount': 2.51, 'display_amount': '1.89-2.51', 'display_name': 'Time', 'low_amount': 1.89}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 1.83}",12
8,"{'surge_confirmation_href': None, 'high_estimate': 20, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 14, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 9.45, 'display_amount': '7.09-9.45', 'display_name': 'Distance', 'low_amount': 7.09}, {'high_amount': 7.17, 'display_amount': '5.38-7.17', 'display_name': 'Time', 'low_amount': 5.38}], 'surge_multiplier': 1.0, 'display': '£14-20', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 2400, 'distance_estimate': 6.3}",7
9,"{'surge_confirmation_href': None, 'high_estimate': 16, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 12, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 7.58, 'display_amount': '5.68-7.58', 'display_name': 'Distance', 'low_amount': 5.68}, {'high_amount': 5.39, 'display_amount': '4.04-5.39', 'display_name': 'Time', 'low_amount': 4.04}], 'surge_multiplier': 1.0, 'display': '£12-16', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1800, 'distance_estimate': 5.05}",4
10,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.13, 'display_amount': '1.59-2.13', 'display_name': 'Distance', 'low_amount': 1.59}, {'high_amount': 2.24, 'display_amount': '1.68-2.24', 'display_name': 'Time', 'low_amount': 1.68}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 1.42}",22
11,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/0ab1ae1c-e5af-4ba7-bbc3-6100393f63ac', 'high_estimate': 14, 'expires_at': 1542133827, 'surge_confirmation_id': '0ab1ae1c-e5af-4ba7-bbc3-6100393f63ac', 'minimum': 7, 'low_estimate': 10, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.21, 'display_amount': '3.16-4.21', 'display_name': 'Distance', 'low_amount': 3.16}, {'high_amount': 3.08, 'display_amount': '2.5-3.08', 'display_name': 'Surge x1.3', 'low_amount': 2.5}, {'high_amount': 3.56, 'display_amount': '2.67-3.56', 'display_name': 'Time', 'low_amount': 2.67}], 'surge_multiplier': 1.3, 'display': '£10-14', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1200, 'distance_estimate': 2.81}",19
12,"{'surge_confirmation_href': None, 'high_estimate': 15, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 11, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 5.75, 'display_amount': '4.31-5.75', 'display_name': 'Distance', 'low_amount': 4.31}, {'high_amount': 6.1, 'display_amount': '4.58-6.1', 'display_name': 'Time', 'low_amount': 4.58}], 'surge_multiplier': 1.0, 'display': '£11-15', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 2040, 'distance_estimate': 3.83}",8
13,"{'surge_confirmation_href': None, 'high_estimate': 11, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 8, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.15, 'display_amount': '3.11-4.15', 'display_name': 'Distance', 'low_amount': 3.11}, {'high_amount': 3.59, 'display_amount': '2.69-3.59', 'display_name': 'Time', 'low_amount': 2.69}], 'surge_multiplier': 1.0, 'display': '£8-11', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1200, 'distance_estimate': 2.76}",12
14,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.06, 'display_amount': '0.79-1.06', 'display_name': 'Distance', 'low_amount': 0.79}, {'high_amount': 0.35, 'display_amount': '0.89-0.35', 'display_name': '£5.00 Minimum', 'low_amount': 0.89}, {'high_amount': 1.09, 'display_amount': '0.82-1.09', 'display_name': 'Time', 'low_amount': 0.82}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 0.7}",11
