,estimate,trip,pickup_estimate
0,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.1, 'display_amount': '1.58-2.1', 'display_name': 'Distance', 'low_amount': 1.58}, {'high_amount': 1.4, 'display_amount': '1.05-1.4', 'display_name': 'Time', 'low_amount': 1.05}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 1.4}",6
1,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.55, 'display_amount': '1.16-1.55', 'display_name': 'Distance', 'low_amount': 1.16}, {'high_amount': None, 'display_amount': '0.22', 'display_name': '£5.00 Minimum', 'low_amount': 0.22}, {'high_amount': 1.49, 'display_amount': '1.12-1.49', 'display_name': 'Time', 'low_amount': 1.12}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 1.04}",8
2,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.85, 'display_amount': '1.39-1.85', 'display_name': 'Distance', 'low_amount': 1.39}, {'high_amount': 1.73, 'display_amount': '1.3-1.73', 'display_name': 'Time', 'low_amount': 1.3}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 1.24}",16
3,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.34, 'display_amount': '1-1.34', 'display_name': 'Distance', 'low_amount': 1.0}, {'high_amount': None, 'display_amount': '0.62', 'display_name': '£5.00 Minimum', 'low_amount': 0.62}, {'high_amount': 1.17, 'display_amount': '0.88-1.17', 'display_name': 'Time', 'low_amount': 0.88}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 420, 'distance_estimate': 0.89}",16
4,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.11, 'display_amount': '2.34-3.11', 'display_name': 'Distance', 'low_amount': 2.34}, {'high_amount': 2.46, 'display_amount': '1.85-2.46', 'display_name': 'Time', 'low_amount': 1.85}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 2.08}",17
