,oRandomLat,oRandomLong,dRandomLat,dRandomLong,oTrain,dTrain,oBike,oBikeCoords,dBike,dBikeCoords,bikeMins,trainMins
0,51.58632573030417,-0.18225777506296154,51.42103535013567,-0.1469035929473643,East Finchley,Tooting Broadway,"Allington street, Westminster","(51.5806125, -0.2282815)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",38,13.5625
1,51.46100904331091,-0.03608770834733989,51.46682374984601,-0.1556613903628863,Elverson Road,Clapham Common,"Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)","Holden Street, Battersea","(51.468861600000004, -0.1575537)",39,60.25
2,51.52647864110511,-0.06523514097057286,51.44166420530441,-0.13722706611711116,Shoreditch,Balham,"Bethnal Green Garden, Bethnal Green","(51.526243, -0.0665823)","Clapham Common North Side, Clapham Common","(51.461240999999994, -0.1525693)",25,30.155672823218996
3,51.43853705296277,-0.1383439360042117,51.50331372401712,-0.05398239076681165,Balham,Wapping,"Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)","Garnet Street, Shadwell","(51.5077778, -0.05501209999999999)",22,62.0
4,51.44703685278686,-0.08250623862430244,51.491836342924195,-0.026116542890801633,Brixton,Mudchute,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",28,40.0
5,51.59753899611408,-0.058098897126130714,51.449153035874055,-0.13076451691307414,Tottenham Hale,Clapham South,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Ferndale Road, Brixton. ","(51.4627695, -0.12202550000000001)",34,23.67713004484305
6,51.52578789736522,-0.0767765995727626,51.46895610154495,-0.03763206963166822,Shoreditch,New Cross Gate,"Shoreditch High Street, Shoreditch","(51.5242865, -0.0772422)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",13,21.16328828828829
7,51.60536726964134,-0.17212285702651678,51.52967776925362,-0.10393954787693328,West Finchley,Angel,"Allington street, Westminster","(51.5806125, -0.2282815)","Chadwell Street, Angel","(51.5304514, -0.10648710000000002)",24,14.692307692307692
8,51.49974911961771,-0.03294593409644676,51.51916532925574,-0.18453457192109773,Heron Quays,Royal Oak,"Alpha Grove, Millwall","(51.49857739999999, -0.0229211)","Orsett Terrace, Bayswater","(51.51774210000001, -0.1842862)",29,51.833333333333336
9,51.48262535152841,-0.145960817120045,51.41956399794984,-0.11310403314235747,Pimlico,Tooting Bec,"Sopwith Way, Battersea Park","(51.482434600000005, -0.14789270000000002)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",12,15.146714671467148
10,51.47944796798157,-0.11741735032113312,51.553166544691926,-0.045025456170717085,Oval,Leyton,"Albert Square, Stockwell","(51.4770415, -0.1191557)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",22,25.797872340425535
11,51.51022510959987,-0.1621946730654813,51.43003016151524,-0.0471833080408053,Marble Arch,Lewisham,"Green Street, Mayfair","(51.512612700000005, -0.15543310000000002)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",39,16.90788053256567
12,51.48425192923328,-0.15906961619959104,51.55122727587797,-0.20447769012961645,Sloane Square,Kilburn,"Ormonde Gate, Chelsea","(51.4869241, -0.1614992)","Wellington Road, St. John's Wood","(51.5343659, -0.17422870000000001)",17,14.824803567636442
14,51.468607684584335,-0.11309576055215233,51.53812110007557,-0.1305205469262658,Brixton,Mornington Crescent,"Wynne Road, Stockwell","(51.4691598, -0.1136818)","Handyside Street, King's Cross","(51.5374403, -0.125248)",18,11.919786096256683
15,51.47564849931037,-0.05879084515469234,51.58468278567182,-0.05862883147964028,New Cross Gate,Tottenham Hale,"Bricklayers Arms, Borough","(51.4942419, -0.0850787)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",33,13.384876805437553
16,51.46825206507031,-0.10798922501659776,51.555435717254035,-0.1584411467988861,Brixton,Belsize Park,"St John's Crescent, Brixton","(51.4661591, -0.11195230000000002)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",23,14.873150105708245
17,51.533818382823696,-0.18347795392153177,51.53170161644536,-0.0927733907525012,Maida Vale,Old Street,"Grove End Road, St. John's Wood","(51.5309851, -0.176681)","Wenlock Road , Hoxton","(51.531481299999996, -0.0941564)",21,35.11032028469751
18,51.60830200428831,-0.16188284520217575,51.54527627774956,-0.16654978235233536,West Finchley,Swiss Cottage,"Allington street, Westminster","(51.5806125, -0.2282815)","Charlbert Street, St. John's Wood","(51.53415150000001, -0.16790629999999998)",31,13.551020408163264
19,51.44048439342004,-0.10014586611947508,51.60479943790013,-0.024811869694604707,Brixton,Blackhorse Road,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Lee Valley VeloPark, Queen Elizabeth Olympic Park","(51.550659, -0.015266)",33,40.0
20,51.487214437171474,-0.12337240985851264,51.4284041042085,-0.16927987638470754,Vauxhall,Tooting Broadway,"Vauxhall Cross, Vauxhall","(51.48718710000001, -0.1244856)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",13,19.76345609065156
21,51.594899965628926,-0.05064008118982223,51.56713351645619,-0.0461353298849302,Tottenham Hale,Blackhorse Road,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",2,9.597116200169635
22,51.528031640884066,-0.21253086621857661,51.5560056758065,-0.19373109436580116,Queen's Park,West Hampstead,"Bevington Road West, North Kensington","(51.5208259, -0.2076607)","Wellington Road, St. John's Wood","(51.5343659, -0.17422870000000001)",20,16.190629011553273
23,51.58964177757473,-0.1361032196899234,51.426407708524714,-0.17527179860072634,Highgate,Tooting Broadway,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",36,17.74608695652174
24,51.6101760564276,-0.1413364112517226,51.44803771097617,-0.12565141864441504,Arnos Grove,Clapham South,"Allington street, Westminster","(51.5806125, -0.2282815)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",39,14.444444444444445
25,51.53181692130525,-0.14266466515981774,51.52499212103696,-0.19912855516480465,Mornington Crescent,Westbourne Park,"Albany Street, The Regent's Park","(51.52979570000001, -0.1444422)","Bevington Road West, North Kensington","(51.5208259, -0.2076607)",17,25.90153846153846
26,51.538374930668425,-0.06190047200718092,51.589117470447135,-0.10399874916679114,Bethnal Green,Turnpike Lane,"Ada Street, Hackney Central","(51.5358119, -0.061232299999999996)","Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)",22,10.46926952141058
27,51.46184501381696,-0.21508170231978485,51.41967066316372,-0.09589015589758759,East Putney,Balham,"Putney Rail Station, Putney","(51.4611807, -0.2164913)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",31,34.29411764705882
28,51.50739990438984,-0.043926574942544774,51.4804626257892,-0.18683090416995074,Limehouse,Fulham Broadway,"Albert Gardens, Stepney","(51.5130476, -0.046878500000000004)","Thorndike Close, West Chelsea","(51.4804887, -0.1842626)",24,63.22222222222222
29,51.58535036168854,-0.13002572619537636,51.47089343209619,-0.06541461737043226,Highgate,New Cross Gate,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Bricklayers Arms, Borough","(51.4942419, -0.0850787)",34,21.281596452328163
30,51.5500518043351,-0.02618513573357671,51.5679272483361,-0.11179919208663001,Leyton,Finsbury Park,"Here East North, Queen Elizabeth Olympic Park","(51.5474732, -0.0239604)","Cloudesley Road, Angel","(51.5366251, -0.1097333)",25,28.82962962962963
31,51.42757036880214,-0.19533763975869384,51.44890619143253,-0.10895313527816007,Wimbledon Park,Brixton,"Neville Gill Close, Wandsworth","(51.4543639, -0.1948588)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",31,30.797872340425535
