,oRandomLat,oRandomLong,dRandomLat,dRandomLong,oTrain,dTrain,oBike,oBikeCoords,dBike,dBikeCoords,bikeMins,trainMins
32,51.548124036120164,-0.06741768445950343,51.53096316307455,-0.025586543126730407,Bethnal Green,Bow Road,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Mostyn Grove, Bow","(51.53086769999999, -0.0258225)",3,16.494208494208497
33,51.5519846563964,-0.022486045943261937,51.53216768033855,-0.03836784788782234,Leyton,Mile End,"Here East North, Queen Elizabeth Olympic Park","(51.5474732, -0.0239604)","Driffield Road, Old Ford","(51.53317089999999, -0.036761699999999994)",6,25.74446680080483
34,51.47720283187289,-0.0511874244087067,51.540270964320726,-0.17046024812259206,New Cross Gate,Swiss Cottage,"Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)","Charlbert Street, St. John's Wood","(51.53415150000001, -0.16790629999999998)",28,48.0
35,51.45134493164297,-0.13856755289179407,51.45239851762303,-0.0573484591271486,Clapham South,New Cross Gate,"Clapham Common North Side, Clapham Common","(51.461240999999994, -0.1525693)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",26,19.204771371769382
36,51.58957178303607,-0.1915562685854871,51.41143582326947,-0.12778436007846808,Finchley Central,Tooting Broadway,"Allington street, Westminster","(51.5806125, -0.2282815)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",42,13.5625
37,51.43400225398858,-0.08297463456496783,51.52279349118809,-0.17695889442296586,Brixton,Warwick Avenue,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Aberdeen Place, St. John's Wood","(51.5251317, -0.175893)",23,21.275
38,51.50874385380282,-0.016581505121907383,51.51367186157758,-0.05830879317478553,Poplar,Shadwell,"Newby Place, Poplar","(51.510162799999996, -0.012137299999999998)","Watney Market, Stepney","(51.513281299999996, -0.0568389)",6,17.958333333333332
39,51.4171011510286,-0.06868559524584712,51.4598810504709,-0.032250268813113894,Brixton,Lewisham,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",40,40.0
40,51.4757564048219,-0.11153162709093385,51.41579044013743,-0.1749024728382016,Oval,Colliers Wood,"Normandy Road, Stockwell","(51.4736945, -0.1117038)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",15,20.7183908045977
41,51.52367499525921,-0.1317857215057161,51.60741334869505,-0.18296109345676276,Euston Square,West Finchley,"Taviton Street, Bloomsbury","(51.52593479999999, -0.13200209999999998)","Allington street, Westminster","(51.5806125, -0.2282815)",24,25.411042944785276
42,51.567560857364,-0.03134198552346716,51.54987367240544,-0.04435225198331667,Walthamstow Central,Bethnal Green,"Lee Valley VeloPark, Queen Elizabeth Olympic Park","(51.550659, -0.015266)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",28,18.471615720524017
43,51.55411069566833,-0.17373887516101022,51.42607258437733,-0.12882230686310453,Hampstead,Tooting Bec,"Wellington Road, St. John's Wood","(51.5343659, -0.17422870000000001)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",31,23.41291108404385
44,51.48157617405217,-0.18340578366388477,51.467020987115674,-0.04156164708614864,Fulham Broadway,New Cross Gate,"Thorndike Close, West Chelsea","(51.4804887, -0.1842626)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",30,43.5
45,51.5300613451729,-0.16884592203554574,51.50200046741352,-0.0479656932145809,St. John's Wood,Rotherhithe,"St. John's Wood Church, The Regent's Park","(51.53046819999999, -0.1682359)","Garnet Street, Shadwell","(51.5077778, -0.05501209999999999)",20,33.25925925925926
46,51.605923453733254,-0.11668787858360213,51.45088081781626,-0.16774441068269808,Bounds Green,Balham,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",38,17.74608695652174
47,51.54084608075476,-0.1888994352545471,51.44228227355096,-0.018460903368851048,West Hampstead,Lewisham,"Wellington Road, St. John's Wood","(51.5343659, -0.17422870000000001)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",47,61.833333333333336
48,51.60835179292214,-0.06175623331985443,51.43529253237064,-0.18711568866883238,Tottenham Hale,Wimbledon Park,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Neville Gill Close, Wandsworth","(51.4543639, -0.1948588)",44,42.6
49,51.573123743041094,-0.199350665413979,51.473415682135816,-0.18116952244821494,Golders Green,Fulham Broadway,"Allington street, Westminster","(51.5806125, -0.2282815)","Imperial Wharf Station, Sands End","(51.475030700000005, -0.1827262)",30,16.344827586206897
