,oRandomLat,oRandomLong,dRandomLat,dRandomLong,coorDistance,oTrain,dTrain,oBike,dBike,bikeMins,trainMins
4235,51.51310333,-0.13121385,51.490083,-0.162418,2.0888112064462274,Leicester Square,Sloane Square,383,280,21.0,7
4236,51.48985626,-0.141923621,51.490491,-0.14918599999999999,0.31890364057118337,Pimlico,Sloane Square,178,424,9.4,5
4237,51.513875,-0.117774,51.5208417,-0.097340162,1.0103642590337074,Temple,Barbican,594,95,10.5,12
4238,51.52364804,-0.074754872,51.50946212,-0.12474927400000001,2.384538824438858,Shoreditch,Charing Cross,132,64,19.333333333333332,13
4239,51.535179,-0.03338,51.48591714,-0.12446994800000001,5.219403403741461,Bow Road,Vauxhall,459,74,44.0,22
4240,51.52334476,-0.18384640800000002,51.50645179,-0.170279555,1.306057362447023,Warwick Avenue,Lancaster Gate,47,248,75.4,9
4241,51.49582705,-0.13547809,51.51612862,-0.12090940800000001,1.536955545489636,St. James's Park,Holborn,118,751,17.666666666666668,9
4242,51.50070305,-0.129698963,51.51352755,-0.130110822,0.8847153659836271,St. James's Park,Leicester Square,762,386,17.22222222222222,7
4243,51.49016361,-0.19039362,51.48795853,-0.18740450600000003,0.20008719932845878,West Brompton,West Brompton,219,757,17.833333333333332,0
4244,51.50930161,-0.084985356,51.51707521,-0.08668554199999999,0.5412382046948009,Monument,Moorgate,276,55,35.0,4
4245,51.46866929,-0.146544642,51.47053858,-0.163041605,0.7290425260155473,Clapham Common,Clapham Common,677,632,6.0,0
4246,51.527294700000006,-0.174653609,51.51689296,-0.158249929,1.0118206434366739,Warwick Avenue,Marble Arch,286,403,11.2,11
4247,51.48728535,-0.217995921,51.48294452,-0.219346128,0.3051022239925504,Barons Court,Barons Court,696,655,2.5,0
4248,51.52994371,-0.123616824,51.5154186,-0.098850915,1.4710739406359437,King's Cross St. Pancras,St. Paul's,14,71,11.772727272727273,7
4249,51.51632095,-0.202608612,51.49372451,-0.198286569,1.569823128978367,Westbourne Park,Earl's Court,661,142,14.0,13
4250,51.506209999999996,-0.11484200000000001,51.50064702,-0.078600401,1.6223877532846225,Waterloo,London Bridge,819,85,18.0,3
4251,51.50613324,-0.114686385,51.51477076,-0.12221963,0.6799128738847331,Waterloo,Covent Garden,273,18,6.8,6
4252,51.475089000000004,-0.201968,51.47893931,-0.20848529300000002,0.38843673962939645,Parsons Green,Parsons Green,671,729,3.555555555555556,0
4253,51.53571683,-0.060291813,51.521889,-0.046669999999999996,1.1227917799198799,Bethnal Green,Stepney Green,718,478,14.0,4
4254,51.531065999999996,-0.11934000000000002,51.53638435,-0.102757578,0.8091873972538213,King's Cross St. Pancras,Angel,593,695,7.875,2
4255,51.5190427,-0.204764421,51.505014,-0.17306032,1.6845992897223079,Westbourne Park,Lancaster Gate,643,300,21.0,10
4256,51.52469624,-0.084439283,51.51707521,-0.08668554199999999,0.5346424015335923,Old Street,Moorgate,32,55,5.8,1
4257,51.516009999999994,-0.0985,51.51678023,-0.175488803,3.3491249497392017,St. Paul's,Paddington,557,290,30.0,16
4258,51.50402794,-0.11386436,51.51821864,-0.100791005,1.1319576929672097,Waterloo,Barbican,374,203,12.863636363636365,9
4259,51.50535447,-0.11365654300000001,51.50013942,-0.113936001,0.3598987980535127,Waterloo,Lambeth North,377,347,9.0,1
4260,51.50706909,-0.145904427,51.512440000000005,-0.19096,1.9944410481822556,Green Park,Bayswater,49,584,16.0,11
4261,51.519656,-0.132339,51.520955,-0.083493552,2.1264690229761967,Goodge Street,Liverpool Street,364,41,19.875,10
4262,51.51612862,-0.12090940800000001,51.493146,-0.099828,1.8312693502882265,Holborn,Elephant & Castle,751,409,13.0,10
4263,51.48294452,-0.219346128,51.48438657,-0.20481514,0.6398176368921212,Barons Court,West Kensington,655,626,6.333333333333333,2
4264,51.51615461,-0.08242239900000001,51.5154186,-0.098850915,0.7163753425530778,Liverpool Street,St. Paul's,217,71,7.4375,4
4265,51.51700801,-0.09388536,51.49188409,-0.125674815,2.216906170666782,St. Paul's,Pimlico,127,376,22.0,13
4266,51.51641749,-0.17913507899999997,51.51474612,-0.16516428800000002,0.6185109861117025,Paddington,Marble Arch,330,169,5.0,9
4267,51.50379168,-0.11282408,51.52367314,-0.128377673,1.5290695578982263,Waterloo,Russell Square,154,287,14.333333333333334,9
4268,51.52058381,-0.15470141099999998,51.511959999999995,-0.142783033,0.7890063098150119,Baker Street,Oxford Circus,56,349,17.0,3
4269,51.515256,-0.058641,51.499916999999996,-0.174554,5.151556044617928,Shadwell,South Kensington,443,428,38.0,16
