,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
0,97,157,300,0.74
1,644,318,1140,5.26
2,114,797,480,1.55
3,22,101,540,1.57
4,219,378,240,0.76
5,792,135,480,1.35
6,231,37,240,0.8
7,724,769,300,1.26
8,374,393,780,1.96
9,155,150,300,1.13
10,338,377,480,1.33
11,572,343,300,0.76
12,644,634,360,1.3
13,361,546,720,2.19
14,393,388,480,1.2
15,191,300,360,1.2
16,364,25,360,1.03
17,364,374,960,2.8
18,656,573,420,1.76
19,631,734,540,2.38
20,55,351,480,1.28
21,246,12,720,2.53
22,776,641,900,4.28
23,722,512,300,0.93
24,68,45,840,2.95
25,522,579,1140,4.81
26,489,39,540,1.54
27,330,135,1080,4.13
28,55,278,480,1.51
29,583,773,720,2.18
30,545,759,540,2.23
31,115,501,360,1.08
32,335,14,780,2.28
33,376,174,540,1.93
34,472,480,420,1.63
36,587,215,360,0.82
37,727,682,480,2.2
38,350,303,240,0.93
39,113,762,840,2.75
40,294,106,900,2.93
41,14,433,360,0.98
42,374,232,540,1.72
43,234,22,360,1.03
44,800,288,360,1.2
45,443,444,300,0.86
46,347,463,1200,4.03
47,219,157,240,0.88
48,611,195,1500,7.75
49,16,98,360,1.07
50,749,466,240,0.53
51,195,260,780,2.38
52,587,295,480,1.17
53,636,768,480,1.98
54,5,228,660,2.18
55,612,360,660,2.59
56,159,55,1020,2.96
57,788,786,240,0.84
58,185,629,780,3.53
59,4,433,240,0.87
60,300,807,660,2.95
61,126,89,480,1.77
62,296,635,360,1.6
63,185,143,420,1.48
64,103,754,420,1.56
65,54,273,720,2.11
66,229,2,1080,3.72
67,51,568,1080,4.36
68,16,18,480,1.05
69,57,19,240,0.64
70,328,718,480,1.41
71,666,348,780,3.46
72,189,58,420,1.59
73,324,154,480,1.17
74,278,27,660,1.74
75,546,281,720,2.1
76,698,448,1080,4.31
77,206,461,360,1.44
78,73,364,960,2.59
79,248,307,360,1.16
80,44,243,600,2.35
81,613,775,240,0.68
82,374,84,540,1.82
83,194,135,660,1.82
84,223,645,420,1.31
85,350,167,540,1.89
86,194,412,480,1.73
87,104,466,660,2.03
88,485,702,300,1.05
89,719,444,240,0.83
90,295,773,600,1.61
91,470,459,180,0.7
92,219,558,780,3.84
93,199,341,780,2.26
94,341,13,660,1.51
95,58,537,360,0.88
96,345,636,540,2.14
97,768,480,1680,7.59
98,568,592,240,0.15
99,693,694,240,0.66
