,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
0,67,32,720,1.55
1,533,197,1140,3.17
2,352,676,420,1.2
3,376,270,360,1.07
4,95,401,480,1.43
5,31,719,660,2.15
6,306,254,780,1.94
7,228,360,540,1.19
8,112,104,780,1.86
9,107,508,540,1.32
10,246,66,300,0.95
12,84,15,540,1.06
13,581,169,360,0.87
14,793,325,1080,2.48
15,400,192,960,1.51
16,470,553,720,3.07
17,421,773,360,0.86
18,465,310,1500,4.28
19,119,357,960,2.94
20,199,101,300,0.47
21,108,217,1500,3.38
22,784,790,420,1.28
23,129,43,720,1.69
24,200,331,660,1.56
25,16,81,540,1.59
26,789,790,300,0.72
27,611,559,240,0.39
28,480,715,300,0.71
29,134,458,300,0.6
30,246,674,600,1.89
31,645,223,540,1.22
32,564,478,1560,3.96
33,727,626,300,0.9
34,341,449,1560,3.73
35,462,809,900,2.2
36,219,405,240,0.54
37,213,99,420,1.39
38,224,201,720,1.49
39,282,552,360,0.76
40,289,737,1140,3.61
41,39,513,540,1.56
42,807,754,360,0.93
43,620,638,420,1.0
44,412,112,960,2.9
45,132,479,300,0.77
46,713,34,420,1.22
47,682,615,360,1.11
48,453,217,780,2.16
49,486,135,660,1.84
50,419,217,1680,4.36
51,254,72,300,0.82
52,95,50,420,1.15
53,47,762,1140,3.29
54,763,496,360,1.21
55,187,573,300,0.65
56,14,11,300,0.69
57,270,221,420,1.42
58,71,546,360,0.79
59,664,427,1380,4.65
60,127,308,780,2.06
61,55,480,780,2.28
62,433,318,1080,2.19
63,511,427,780,2.14
64,197,100,420,1.48
65,154,801,540,1.16
66,92,115,720,2.12
68,39,536,360,0.95
69,818,67,900,2.82
70,393,197,660,1.58
72,258,356,300,0.64
73,308,603,780,2.74
74,700,355,840,3.05
75,1,234,360,0.77
76,595,686,180,0.5
77,84,146,1020,2.94
78,640,821,300,1.04
79,106,427,1140,3.17
80,503,322,600,1.64
81,248,266,360,0.88
82,374,246,900,2.21
83,766,633,840,3.58
84,785,478,720,2.6
85,619,252,1560,5.97
86,184,428,1020,2.47
87,58,31,420,1.05
88,300,303,300,0.94
89,743,125,1800,6.66
90,703,579,480,1.21
91,374,556,1500,5.21
92,154,340,960,2.28
93,102,811,900,3.07
94,661,307,300,0.98
95,536,126,720,2.05
96,510,215,1020,3.55
97,195,194,360,0.66
98,404,191,360,1.37
99,12,356,1320,4.14
