,estimate,trip,pickup_estimate
0,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.09, 'display_amount': '1.56-2.09', 'display_name': 'Distance', 'low_amount': 1.56}, {'high_amount': 2.57, 'display_amount': '1.93-2.57', 'display_name': 'Time', 'low_amount': 1.93}], 'surge_multiplier': 1.0, 'display': '£5-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 1.39}",6
1,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.65, 'display_amount': '1.99-2.65', 'display_name': 'Distance', 'low_amount': 1.99}, {'high_amount': 3.06, 'display_amount': '2.29-3.06', 'display_name': 'Time', 'low_amount': 2.29}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1020, 'distance_estimate': 1.77}",8
2,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.74, 'display_amount': '2.8-3.74', 'display_name': 'Distance', 'low_amount': 2.8}, {'high_amount': 2.6, 'display_amount': '1.95-2.6', 'display_name': 'Time', 'low_amount': 1.95}], 'surge_multiplier': 1.0, 'display': '£7-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 2.49}",8
3,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.88, 'display_amount': '1.41-1.88', 'display_name': 'Distance', 'low_amount': 1.41}, {'high_amount': 2.59, 'display_amount': '1.94-2.59', 'display_name': 'Time', 'low_amount': 1.94}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 1.25}",5
4,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.84, 'display_amount': '2.13-2.84', 'display_name': 'Distance', 'low_amount': 2.13}, {'high_amount': 3.43, 'display_amount': '2.58-3.43', 'display_name': 'Time', 'low_amount': 2.58}], 'surge_multiplier': 1.0, 'display': '£7-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1140, 'distance_estimate': 1.89}",8
5,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.16, 'display_amount': '2.38-3.16', 'display_name': 'Distance', 'low_amount': 2.38}, {'high_amount': 3.15, 'display_amount': '2.36-3.15', 'display_name': 'Time', 'low_amount': 2.36}], 'surge_multiplier': 1.0, 'display': '£7-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1020, 'distance_estimate': 2.11}",12
6,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.53, 'display_amount': '1.15-1.53', 'display_name': 'Distance', 'low_amount': 1.15}, {'high_amount': 2.23, 'display_amount': '1.67-2.23', 'display_name': 'Time', 'low_amount': 1.67}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 1.02}",10
7,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 0.23, 'display_amount': '0.18-0.23', 'display_name': 'Distance', 'low_amount': 0.18}, {'high_amount': 1.52, 'display_amount': '1.76-1.52', 'display_name': '£5.00 Minimum', 'low_amount': 1.76}, {'high_amount': 0.75, 'display_amount': '0.56-0.75', 'display_name': 'Time', 'low_amount': 0.56}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 240, 'distance_estimate': 0.15}",10
8,"{'surge_confirmation_href': None, 'high_estimate': 12, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 8, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.24, 'display_amount': '3.18-4.24', 'display_name': 'Distance', 'low_amount': 3.18}, {'high_amount': 4.35, 'display_amount': '3.26-4.35', 'display_name': 'Time', 'low_amount': 3.26}], 'surge_multiplier': 1.0, 'display': '£8-12', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1440, 'distance_estimate': 2.82}",5
9,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.91, 'display_amount': '2.19-2.91', 'display_name': 'Distance', 'low_amount': 2.19}, {'high_amount': 2.79, 'display_amount': '2.09-2.79', 'display_name': 'Time', 'low_amount': 2.09}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 960, 'distance_estimate': 1.95}",3
