,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
0,66,263,840,1.39,£5-8
1,389,395,1020,1.77,£6-9
2,719,326,840,2.49,£7-9
3,136,278,840,1.25,£5-7
4,108,27,1140,1.89,£7-9
5,374,15,1020,2.11,£7-9
6,325,583,720,1.02,£5-7
7,224,105,240,0.15,£5-6
8,290,228,1440,2.82,£8-12
9,242,227,960,1.95,£6-9
10,213,333,1020,2.51,£7-10
11,130,134,300,0.62,£5-6
12,459,553,480,1.69,£5-7
13,92,125,360,0.32,£5-6
14,795,363,900,2.63,£7-10
15,392,158,780,1.62,£6-8
16,244,192,840,0.7,£5-6
17,75,126,480,1.17,£5-6
18,335,14,1380,2.77,£8-11
19,485,399,720,1.78,£6-8
20,136,154,840,1.81,£6-8
21,222,404,660,1.6,£5-7
22,211,605,1140,2.36,£7-10
23,789,785,240,0.22,£5-6
24,122,374,1800,3.36,£10-13
25,480,33,780,1.81,£6-8
26,356,207,660,1.3,£5-7
27,321,603,900,2.69,£7-10
28,589,737,540,1.34,£5-7
29,187,99,1020,2.48,£7-10
30,250,84,1800,3.46,£10-14
31,817,710,540,1.51,£5-7
32,340,200,840,1.29,£5-7
33,132,98,1680,3.64,£10-13
34,7,456,420,1.24,£5-6
35,492,17,1680,3.86,£10-14
36,394,163,1320,4.02,£10-13
37,280,745,600,1.35,£5-7
38,601,428,1200,3.25,£8-11
39,551,556,300,0.42,£5-6
40,492,33,780,1.63,£6-8
41,84,104,1260,2.03,£7-10
42,191,248,540,1.44,£5-7
43,515,527,240,0.34,£5-6
44,457,234,840,2.46,£7-9
46,206,317,1200,2.67,£8-11
47,648,723,240,0.56,£5-6
48,671,729,240,0.44,£5-6
49,73,534,540,1.14,£5-6
50,427,54,420,0.86,£5-6
51,457,65,780,1.84,£6-8
52,98,81,540,0.84,£5-6
53,27,233,900,1.53,£6-8
54,612,664,360,1.16,£5-6
55,329,47,480,1.4,£5-6
56,695,33,1140,2.89,£8-11
57,785,812,300,1.02,£5-6
58,320,74,540,1.32,£5-7
59,389,662,1260,2.5,£8-10
60,189,579,960,2.02,£6-9
62,356,662,540,1.21,£5-6
63,24,465,1320,3.59,£9-12
64,509,115,900,1.41,£6-8
65,300,248,300,0.33,£5-6
66,190,291,300,0.55,£5-6
67,270,86,300,0.57,£5-6
68,702,132,300,0.63,£5-6
69,296,2,480,0.83,£5-6
70,664,432,840,2.18,£6-9
71,138,191,660,0.79,£5-6
72,806,14,660,1.28,£5-7
73,790,789,240,0.33,£5-6
74,499,719,720,2.29,£6-9
75,139,272,420,0.6,£5-6
76,167,832,1440,4.04,£10-13
77,14,66,780,1.6,£6-8
78,760,47,420,1.09,£5-6
79,510,453,420,1.59,£5-7
80,68,16,480,0.93,£5-6
81,666,172,960,2.38,£7-9
82,200,763,780,2.02,£6-8
83,9,154,660,1.49,£5-7
84,78,132,780,1.27,£5-7
85,89,26,240,0.23,£5-6
86,80,132,1860,3.14,£10-13
87,154,509,1260,3.33,£9-12
88,337,13,1740,3.45,£10-13
89,312,560,840,2.57,£7-9
90,48,214,900,2.4,£7-9
91,681,782,420,1.22,£5-6
92,146,680,720,2.21,£6-8
93,768,228,1560,4.6,£11-15
94,278,358,1320,3.32,£9-12
95,574,140,420,1.11,£5-6
96,174,61,1020,2.15,£7-9
97,360,190,360,0.74,£5-6
98,603,85,1140,2.94,£8-11
99,518,130,1440,2.92,£8-12
