,estimate,trip,pickup_estimate
10,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.8, 'display_amount': '1.35-1.8', 'display_name': 'Distance', 'low_amount': 1.35}, {'high_amount': 1.61, 'display_amount': '1.21-1.61', 'display_name': 'Time', 'low_amount': 1.21}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 540, 'distance_estimate': 1.2}",4
11,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.33, 'display_amount': '0.99-1.33', 'display_name': 'Distance', 'low_amount': 0.99}, {'high_amount': 0.15, 'display_amount': '0.74-0.15', 'display_name': '£5.00 Minimum', 'low_amount': 0.74}, {'high_amount': 1.02, 'display_amount': '0.77-1.02', 'display_name': 'Time', 'low_amount': 0.77}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 0.88}",5
12,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.71, 'display_amount': '2.03-2.71', 'display_name': 'Distance', 'low_amount': 2.03}, {'high_amount': 2.51, 'display_amount': '1.88-2.51', 'display_name': 'Time', 'low_amount': 1.88}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 1.81}",4
13,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.2, 'display_amount': '1.65-2.2', 'display_name': 'Distance', 'low_amount': 1.65}, {'high_amount': 1.32, 'display_amount': '0.99-1.32', 'display_name': 'Time', 'low_amount': 0.99}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 420, 'distance_estimate': 1.47}",4
14,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.44, 'display_amount': '1.08-1.44', 'display_name': 'Distance', 'low_amount': 1.08}, {'high_amount': None, 'display_amount': '0.59', 'display_name': '£5.00 Minimum', 'low_amount': 0.59}, {'high_amount': 1.11, 'display_amount': '0.83-1.11', 'display_name': 'Time', 'low_amount': 0.83}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 0.96}",7
15,"{'surge_confirmation_href': None, 'high_estimate': 13, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 9, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 5.18, 'display_amount': '3.89-5.18', 'display_name': 'Distance', 'low_amount': 3.89}, {'high_amount': 4.48, 'display_amount': '3.36-4.48', 'display_name': 'Time', 'low_amount': 3.36}], 'surge_multiplier': 1.0, 'display': '£9-13', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1500, 'distance_estimate': 3.45}",9
16,"{'surge_confirmation_href': None, 'high_estimate': 11, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 8, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.65, 'display_amount': '3.49-4.65', 'display_name': 'Distance', 'low_amount': 3.49}, {'high_amount': 3.26, 'display_amount': '2.44-3.26', 'display_name': 'Time', 'low_amount': 2.44}], 'surge_multiplier': 1.0, 'display': '£8-11', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1080, 'distance_estimate': 3.1}",10
17,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.8, 'display_amount': '2.1-2.8', 'display_name': 'Distance', 'low_amount': 2.1}, {'high_amount': 2.58, 'display_amount': '1.94-2.58', 'display_name': 'Time', 'low_amount': 1.94}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 1.87}",3
18,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.15, 'display_amount': '1.61-2.15', 'display_name': 'Distance', 'low_amount': 1.61}, {'high_amount': 1.7, 'display_amount': '1.28-1.7', 'display_name': 'Time', 'low_amount': 1.28}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 540, 'distance_estimate': 1.44}",10
19,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.0, 'display_amount': '1.5-2', 'display_name': 'Distance', 'low_amount': 1.5}, {'high_amount': 1.78, 'display_amount': '1.33-1.78', 'display_name': 'Time', 'low_amount': 1.33}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 1.33}",6
