,estimate,trip,pickup_estimate
0,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.89, 'display_amount': '2.16-2.89', 'display_name': 'Distance', 'low_amount': 2.16}, {'high_amount': 2.02, 'display_amount': '1.51-2.02', 'display_name': 'Time', 'low_amount': 1.51}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 660, 'distance_estimate': 1.92}",10
1,"{'surge_confirmation_href': None, 'high_estimate': 12, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 9, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 6.03, 'display_amount': '4.53-6.03', 'display_name': 'Distance', 'low_amount': 4.53}, {'high_amount': 3.13, 'display_amount': '2.35-3.13', 'display_name': 'Time', 'low_amount': 2.35}], 'surge_multiplier': 1.0, 'display': '£9-12', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1020, 'distance_estimate': 4.02}",4
2,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.55, 'display_amount': '1.91-2.55', 'display_name': 'Distance', 'low_amount': 1.91}, {'high_amount': 1.52, 'display_amount': '1.14-1.52', 'display_name': 'Time', 'low_amount': 1.14}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 1.7}",6
3,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.93, 'display_amount': '1.44-1.93', 'display_name': 'Distance', 'low_amount': 1.44}, {'high_amount': 1.74, 'display_amount': '1.31-1.74', 'display_name': 'Time', 'low_amount': 1.31}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 1.28}",4
4,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.74, 'display_amount': '1.3-1.74', 'display_name': 'Distance', 'low_amount': 1.3}, {'high_amount': None, 'display_amount': '0.42', 'display_name': '£5.00 Minimum', 'low_amount': 0.42}, {'high_amount': 1.04, 'display_amount': '0.78-1.04', 'display_name': 'Time', 'low_amount': 0.78}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 1.16}",5
