,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
0,52,55,360,0.87
1,780,171,540,1.63
2,192,798,900,2.23
3,257,69,480,1.53
4,718,505,720,2.3
5,410,760,420,1.45
6,200,488,480,0.81
7,632,183,480,1.74
8,39,177,1260,4.29
9,682,433,1560,7.54
10,108,726,780,2.89
11,63,73,360,0.91
12,702,479,240,0.6
13,101,335,480,1.58
14,611,661,300,1.05
15,341,195,600,1.98
16,17,64,720,1.66
17,74,191,600,2.09
18,133,216,420,1.18
19,82,372,240,0.41
20,135,512,720,2.35
21,626,158,300,0.92
22,81,4,660,1.89
23,766,597,480,1.99
24,193,732,360,0.72
25,470,500,600,2.02
26,631,360,540,2.1
27,46,732,480,1.58
28,294,108,300,1.07
29,611,379,300,0.9
30,811,544,1200,4.5
32,273,112,480,1.56
33,101,97,1320,4.89
34,108,321,900,2.92
36,619,672,480,1.91
37,17,101,540,1.3
38,202,393,660,2.04
39,154,214,720,2.16
40,43,232,900,2.83
42,696,709,660,2.14
43,537,763,720,2.11
44,436,594,240,0.43
45,700,573,360,1.0
46,272,77,720,2.01
47,649,662,300,0.75
48,809,792,480,1.66
49,39,564,900,2.61
50,263,199,480,0.71
51,64,68,540,1.17
52,436,71,360,1.04
53,639,302,540,1.72
54,132,203,600,1.47
56,689,772,780,3.03
57,232,68,300,0.62
58,384,157,240,0.3
59,666,216,480,1.52
60,189,115,960,2.83
61,386,234,780,2.06
62,789,787,240,0.79
63,17,213,1020,2.8
64,581,223,1620,5.28
65,562,291,960,2.73
66,103,626,600,2.19
67,459,695,960,3.94
68,652,571,360,1.61
69,52,123,300,0.83
71,668,671,660,2.93
73,52,140,300,0.62
74,64,654,900,2.59
75,772,3,1500,4.29
76,168,682,540,1.83
77,587,154,720,2.01
78,14,65,360,0.74
79,329,28,480,1.57
80,411,820,360,0.6
81,763,470,420,1.45
82,39,295,840,2.52
83,679,83,1320,4.85
84,312,95,1260,4.36
85,593,135,300,1.03
86,199,815,840,2.19
87,298,17,1020,2.87
88,431,25,420,1.09
89,218,768,600,2.18
90,541,300,480,1.8
91,180,248,480,1.76
92,290,382,600,1.79
93,166,595,780,2.95
94,64,273,480,1.27
95,294,148,180,0.33
96,287,358,300,0.97
97,729,739,420,1.39
99,658,216,420,1.51
