,estimate,trip,pickup_estimate
0,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.8, 'display_amount': '1.35-1.8', 'display_name': 'Distance', 'low_amount': 1.35}, {'high_amount': 1.82, 'display_amount': '1.37-1.82', 'display_name': 'Time', 'low_amount': 1.37}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 1.2}",5
1,"{'surge_confirmation_href': None, 'high_estimate': 15, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 11, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 7.43, 'display_amount': '5.58-7.43', 'display_name': 'Distance', 'low_amount': 5.58}, {'high_amount': 5.02, 'display_amount': '3.77-5.02', 'display_name': 'Time', 'low_amount': 3.77}], 'surge_multiplier': 1.0, 'display': '£11-15', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1680, 'distance_estimate': 4.95}",8
2,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 0.66, 'display_amount': '0.5-0.66', 'display_name': 'Distance', 'low_amount': 0.5}, {'high_amount': 1.03, 'display_amount': '1.39-1.03', 'display_name': '£5.00 Minimum', 'low_amount': 1.39}, {'high_amount': 0.81, 'display_amount': '0.61-0.81', 'display_name': 'Time', 'low_amount': 0.61}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 240, 'distance_estimate': 0.44}",6
3,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.03, 'display_amount': '0.76-1.03', 'display_name': 'Distance', 'low_amount': 0.76}, {'high_amount': 0.43, 'display_amount': '0.96-0.43', 'display_name': '£5.00 Minimum', 'low_amount': 0.96}, {'high_amount': 1.04, 'display_amount': '0.78-1.04', 'display_name': 'Time', 'low_amount': 0.78}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 0.68}",4
4,"{'surge_confirmation_href': None, 'high_estimate': 16, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 12, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 7.28, 'display_amount': '5.45-7.28', 'display_name': 'Distance', 'low_amount': 5.45}, {'high_amount': 5.49, 'display_amount': '4.12-5.49', 'display_name': 'Time', 'low_amount': 4.12}], 'surge_multiplier': 1.0, 'display': '£12-16', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1800, 'distance_estimate': 4.85}",12
5,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.21, 'display_amount': '2.41-3.21', 'display_name': 'Distance', 'low_amount': 2.41}, {'high_amount': 2.77, 'display_amount': '2.08-2.77', 'display_name': 'Time', 'low_amount': 2.08}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 900, 'distance_estimate': 2.14}",7
6,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 0.78, 'display_amount': '0.58-0.78', 'display_name': 'Distance', 'low_amount': 0.58}, {'high_amount': 0.74, 'display_amount': '1.18-0.74', 'display_name': '£5.00 Minimum', 'low_amount': 1.18}, {'high_amount': 0.98, 'display_amount': '0.74-0.98', 'display_name': 'Time', 'low_amount': 0.74}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 300, 'distance_estimate': 0.51}",8
7,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.53, 'display_amount': '2.64-3.53', 'display_name': 'Distance', 'low_amount': 2.64}, {'high_amount': 2.7, 'display_amount': '2.03-2.7', 'display_name': 'Time', 'low_amount': 2.03}], 'surge_multiplier': 1.0, 'display': '£7-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 900, 'distance_estimate': 2.35}",5
8,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 0.48, 'display_amount': '0.36-0.48', 'display_name': 'Distance', 'low_amount': 0.36}, {'high_amount': 1.09, 'display_amount': '1.44-1.09', 'display_name': '£5.00 Minimum', 'low_amount': 1.44}, {'high_amount': 0.93, 'display_amount': '0.7-0.93', 'display_name': 'Time', 'low_amount': 0.7}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 300, 'distance_estimate': 0.32}",2
9,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.7, 'display_amount': '2.78-3.7', 'display_name': 'Distance', 'low_amount': 2.78}, {'high_amount': 2.58, 'display_amount': '1.93-2.58', 'display_name': 'Time', 'low_amount': 1.93}], 'surge_multiplier': 1.0, 'display': '£7-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 2.47}",5
