,randLat1,randLong1,randLat2,randLong2,oBike,dBike,coorDistance
0,51.512440000000005,-0.19096,51.49941247,-0.152317537,584,181,1.9058936991844306
1,51.52836014,-0.104724625,51.504942,-0.115533,123,336,1.6822267205710013
2,51.50039792,-0.193068385,51.49434708,-0.21580455899999998,157,634,1.0733868777339102
3,51.50663341,-0.131773845,51.51678023,-0.175488803,160,290,2.0261305605410738
4,51.52261762,-0.071653961,51.535579999999996,-0.08249,399,465,1.0106734859017332
5,51.49646288,-0.183289032,51.49188409,-0.125674815,113,376,2.5258079953558266
6,51.51248445,-0.09914140800000001,51.51422502,-0.080660083,48,263,0.8127782976531192
7,51.54100708,-0.14326094,51.52168078,-0.130431727,713,12,1.4450654908826968
8,51.51772703,-0.127854211,51.503493799999994,-0.07962099,15,278,2.3162748263183284
9,51.517428,-0.10798699999999999,51.51476963,-0.18812973100000002,546,224,3.4907055476604136
10,51.51593725,-0.11177834800000001,51.52085887,-0.089887855,84,331,1.0108493530044442
11,51.4863434,-0.122492418,51.519656,-0.132339,270,364,2.3372193567815067
12,51.5154186,-0.098850915,51.50013942,-0.113936001,71,347,1.241409055712154
13,51.48350749,-0.147714557,51.48112194,-0.149035375,821,800,0.17427804617574982
14,51.52505093,-0.13116108699999998,51.516009999999994,-0.0985,19,557,1.5514578484951755
15,51.5171,-0.18377000000000002,51.512440000000005,-0.19096,592,584,0.448451283234042
16,51.50311799,-0.153520935,51.50311799,-0.153520935,191,191,0.0
17,51.47946386,-0.195777222,51.46468839999999,-0.17365654600000002,691,672,1.401538260734117
18,51.474376,-0.155442787,51.4710956,-0.157850096,664,750,0.24931061414028716
19,51.53727795,-0.079201849,51.52867339,-0.08745937599999999,748,50,0.6936970785868395
20,51.50663341,-0.131773845,51.51689296,-0.158249929,160,403,1.3516365810176738
21,51.503493799999994,-0.07962099,51.487128999999996,-0.009001,278,481,3.272499675128037
22,51.52659961,-0.112432615,51.53095071,-0.078505384,204,96,1.5059044576588978
23,51.47286577,-0.148059277,51.48591714,-0.12446994800000001,640,74,1.3649495558305629
24,51.51787005,-0.201005397,51.506093,-0.2242237,758,591,1.2960390976381297
25,51.48947903,-0.11515656199999999,51.47950170000001,-0.141770709,86,631,1.3467068451257787
26,51.47569809,-0.20587627,51.475089000000004,-0.201968,727,671,0.17510807389834773
27,51.50462759,-0.091773776,51.53724056,-0.12480738599999999,194,806,2.669124599823759
28,51.51492456,-0.066078037,51.52469624,-0.084439283,200,32,1.0450204982263511
29,51.50402794,-0.11386436,51.518153999999996,-0.062697,374,206,2.4294964997339528
30,51.50669284,-0.10313742599999999,51.50088934,-0.083159352,230,314,0.9567267244320972
31,51.50402794,-0.11386436,51.5208417,-0.097340162,374,95,1.3643475119612767
32,51.51505991,-0.10534448,51.535579999999996,-0.08249,703,465,1.7295403570028336
33,51.538071,-0.14466400000000001,51.54100708,-0.14326094,456,713,0.21150366600802373
34,51.52589324,-0.090847761,51.526153,-0.10220800000000001,119,544,0.49444945171273563
35,51.53266186,-0.099981142,51.51397065,-0.09294031,326,427,1.32504983140283
36,51.528936,-0.055894000000000006,51.53095,-0.085603,446,327,1.2996668884792417
37,51.48677988,-0.11585396099999999,51.488852,-0.105593,305,435,0.4686351212158646
38,51.52572618,-0.08848618800000001,51.528869,-0.047548,73,577,1.7937922536632436
39,51.488226,-0.135635511,51.50663341,-0.131773845,294,160,1.2806623094338847
40,51.50645179,-0.170279555,51.50777049,-0.130699733,248,233,1.7239641820000777
41,51.50204238,-0.184400221,51.520331,-0.163667,404,605,1.5506161779113026
42,51.52388,-0.065076,51.51422279999999,-0.055656,445,513,0.7820107265556835
43,51.53546778,-0.11619105,51.52168078,-0.130431727,674,12,1.1348655548005997
44,51.52536703,-0.153463612,51.51348,-0.17977,315,397,1.4076358800229283
45,51.52111369,-0.078869751,51.51700801,-0.09388536,122,127,0.7118663065281584
46,51.532090999999994,-0.06142,51.528187,-0.075375,512,401,0.6640312449033674
47,51.52486887,-0.099489485,51.52127071,-0.0755789,78,40,1.0692145445583472
48,51.49580589,-0.127575233,51.51615461,-0.08242239900000001,281,217,2.4139110972759177
49,51.46161068,-0.21614583,51.46822047,-0.190346493,708,723,1.2112378737717182
50,51.527068,-0.13186102,51.539099,-0.141728,795,572,0.9342193962952989
51,51.49188409,-0.125674815,51.497622,-0.125978,376,583,0.3959759282180502
52,51.51611887,-0.128585022,51.50581776,-0.10018633699999999,244,193,1.4249864107225314
