,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
795,204,509,720,1.64,£6-8
796,626,248,1020,3.12,£8-11
797,331,136,720,1.32,£5-7
798,150,28,1320,3.17,£9-12
799,572,12,720,1.81,£6-8
800,132,521,840,2.01,£6-9
801,218,720,720,1.93,£6-8
802,42,126,660,1.25,£6-9
803,605,301,600,1.09,£5-6
804,579,374,840,1.82,£7-10
805,217,564,660,2.02,£6-8
806,73,501,840,2.01,£8-11
807,301,186,720,1.6,£5-7
808,117,270,300,0.82,£5-6
809,758,541,1200,3.53,£9-12
810,55,530,1800,4.14,£13-17
811,785,102,1620,4.17,£10-14
812,432,277,660,1.14,£5-7
813,680,817,660,1.78,£6-8
814,631,680,540,1.55,£5-7
815,31,810,1140,2.52,£10-13
816,51,14,720,1.29,£7-10
817,307,111,720,1.73,£6-8
818,114,797,780,1.55,£6-8
819,480,491,480,1.2,£5-6
820,133,621,1620,4.14,£10-14
821,383,5,1500,2.75,£9-12
822,432,626,900,1.78,£6-8
823,393,297,840,1.67,£6-8
824,2,378,480,1.12,£5-6
825,126,272,720,1.67,£7-9
826,621,688,600,1.33,£5-7
827,345,673,900,2.14,£6-9
828,324,282,1860,4.87,£12-16
829,537,107,720,1.79,£6-8
830,28,107,1320,2.68,£8-11
831,779,298,720,1.47,£5-7
832,88,545,960,1.99,£6-9
833,436,55,780,1.59,£6-8
834,436,249,960,2.36,£7-9
835,236,726,2460,6.39,£15-20
836,195,116,1260,2.53,£8-11
837,378,384,420,1.12,£5-6
838,553,505,1020,2.62,£7-10
839,202,101,720,1.57,£5-7
840,199,48,480,0.76,£5-6
841,133,714,1740,5.17,£12-16
842,138,524,600,1.4,£5-7
843,383,227,1260,2,£7-10
844,191,374,1140,2.28,£7-10
845,480,478,420,0.97,£5-6
846,348,318,780,0.77,£5-6
847,769,737,300,0.68,£5-6
848,678,688,180,0.57,£5-6
849,103,303,840,2.41,£7-9
850,722,512,420,0.91,£5-6
851,597,292,1200,2.77,£8-11
852,95,365,480,0.85,£6-7
853,236,492,1440,2.74,£8-11
854,97,626,660,1.66,£5-8
855,492,712,300,0.73,£5-6
856,197,51,1080,2.57,£7-10
857,458,229,1080,3.23,£8-11
858,307,191,720,2.2,£6-8
859,203,190,1440,3.33,£12-16
860,723,701,480,1.34,£5-6
861,469,130,900,3.14,£8-10
862,76,271,300,1.15,£5-6
863,552,779,660,1.43,£5-7
864,251,272,1080,2.18,£7-10
865,218,288,660,1.3,£5-7
866,303,821,960,2.05,£7-9
867,230,197,300,0.4,£5-6
868,294,190,240,0.2,£5-6
869,657,660,600,2.06,£6-8
870,314,217,900,1.36,£6-8
871,393,197,780,1.15,£5-7
872,362,797,420,1.08,£5-6
873,194,193,300,0.37,£5-6
874,596,755,420,1.41,£5-6
875,326,553,840,2.35,£9-12
876,564,130,1800,1.86,£8-11
877,169,404,840,1.99,£6-9
878,308,364,1680,3.07,£9-13
879,323,449,840,2.16,£6-9
880,14,393,660,1.74,£6-8
881,229,202,1740,2.79,£9-12
882,662,723,720,1.88,£6-8
883,507,32,540,1.43,£5-7
884,754,157,720,1.98,£6-8
885,427,107,540,1.17,£5-6
886,356,216,360,0.67,£5-6
887,25,264,720,1.74,£6-8
888,492,496,480,1.31,£5-6
889,644,607,600,1.41,£5-7
890,14,108,1740,3.13,£9-13
891,384,150,480,1.16,£5-6
892,321,194,300,0.87,£5-6
893,652,571,720,1.72,£6-8
894,557,14,960,1.85,£6-9
895,112,54,420,0.9,£5-6
896,52,17,360,0.74,£5-6
897,702,732,1380,2.31,£8-11
898,119,42,360,0.41,£5-6
899,605,762,1140,2.56,£7-10
900,136,178,1380,3.37,£9-12
901,108,701,1320,3.22,£9-12
902,721,522,420,1.35,£5-6
903,119,75,360,0.93,£5-6
904,246,499,2280,4.35,£12-16
905,299,732,1500,3.02,£9-12
906,298,612,1740,4.63,£11-15
907,95,324,960,2.08,£6-9
908,378,292,300,0.88,£5-6
909,607,780,540,1.51,£5-7
910,165,111,720,1.79,£6-8
911,552,469,840,2.46,£7-9
912,760,394,360,0.8,£5-6
913,323,702,420,1.06,£5-6
914,180,167,720,1.83,£6-8
915,548,272,420,0.45,£5-6
916,348,64,960,1.77,£6-9
917,815,440,540,1.62,£5-7
918,748,785,1440,3.77,£10-13
919,278,112,1320,2.11,£7-10
920,126,154,840,2.01,£6-8
921,271,456,360,0.66,£5-6
922,500,564,1440,3.46,£9-12
923,756,190,720,1.93,£6-8
924,39,531,780,1.95,£6-8
925,782,392,840,1.74,£6-8
926,161,350,840,2.17,£6-9
927,181,541,480,1.3,£5-6
928,96,236,540,1.05,£5-6
929,174,64,480,1.01,£5-6
930,388,361,960,2.31,£7-9
931,664,376,720,2.2,£6-8
932,577,236,900,1.76,£6-8
933,124,781,720,1.55,£5-7
934,32,112,720,1.9,£6-8
935,236,715,660,1.47,£5-7
936,580,143,1680,3.65,£10-13
937,121,354,1560,2.86,£9-12
938,656,607,300,0.65,£5-6
939,127,25,1080,2.44,£7-10
940,68,55,840,1.95,£6-8
941,441,272,300,0.48,£5-6
942,95,154,900,2.1,£6-9
943,319,71,540,1.26,£5-6
944,662,163,360,0.81,£5-6
945,325,256,480,1.04,£5-6
946,60,70,1260,2.95,£8-11
947,737,430,600,1.38,£5-7
948,321,817,1560,3.44,£9-13
949,178,270,480,0.99,£5-6
950,107,452,1200,2.49,£7-10
951,6,53,840,1.12,£5-7
952,340,195,600,1.38,£5-7
953,584,760,840,1.97,£6-9
954,571,442,420,1.02,£5-6
955,558,320,360,0.75,£5-6
956,286,759,240,0.52,£5-6
957,715,553,900,1.93,£6-9
958,135,240,780,1.83,£6-8
959,397,248,480,0.97,£5-6
960,717,695,540,1.69,£5-7
961,657,780,1320,3.36,£9-12
962,748,127,840,2.22,£6-9
963,159,324,1620,2.78,£9-12
964,294,167,420,0.71,£5-6
965,773,109,1020,1.78,£6-9
966,620,211,660,2.17,£6-8
967,186,47,480,1.2,£5-6
968,489,46,540,0.6,£5-6
969,361,183,840,2.38,£7-9
970,246,101,480,1.11,£5-6
971,101,66,480,1.12,£5-6
