,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
1,48,564,300,0.9,£5-6
2,118,423,480,1.04,£5-6
3,52,154,1380,2.98,PK-£12
4,733,336,1440,2.23,£8-11
5,81,674,780,2.03,£6-8
6,132,251,300,0.45,£5-6
7,318,221,1140,1.83,£7-9
8,318,116,660,0.72,£5-6
9,94,237,1200,1.62,£6-9
10,774,737,360,1.11,£5-6
11,614,794,840,1.9,£6-8
12,134,703,960,2.72,£7-10
13,737,584,1380,3.19,£9-12
14,107,254,360,1.04,£5-6
15,42,779,900,1.73,£6-8
16,220,288,600,1.08,£5-6
17,615,682,360,1.37,£5-6
18,765,753,720,2.49,£6-9
19,324,94,360,1.08,£5-6
20,470,487,720,2.96,£7-10
21,356,428,360,0.48,£5-6
22,500,530,780,3.03,£7-10
23,264,717,960,2.61,£7-10
24,382,201,960,1.39,£6-8
25,300,213,840,1.38,£5-8
26,605,159,960,1.72,£6-8
27,57,227,360,0.87,£5-6
28,85,411,720,1.47,£5-7
29,764,676,780,2.35,£6-9
30,518,32,1140,2.33,£7-10
31,358,77,720,1.18,£5-7
32,365,572,1020,2.58,£7-10
33,136,118,1200,2.82,£8-11
34,73,588,300,0.64,£5-6
35,553,496,1020,3.56,£8-11
36,512,42,720,1.85,£6-8
37,134,458,240,0.6,£5-6
38,770,634,240,0.48,£5-6
39,123,19,720,1.76,£6-8
40,251,553,780,1.92,£6-8
41,671,636,840,1.68,£6-8
42,261,138,900,2.05,£6-9
43,798,23,720,1.58,£5-8
44,687,2,540,1.27,£5-6
45,109,14,1020,2.06,£7-9
46,101,294,1500,3.45,£9-13
47,626,395,900,2.37,£7-9
48,499,492,300,0.89,£5-6
49,176,303,1080,2.76,£7-10
50,553,251,900,1.87,£6-8
51,57,804,600,1.22,£5-7
52,481,436,1920,6.74,£14-19
53,784,787,240,0.25,£5-6
54,619,356,900,2.2,£6-9
55,248,815,2160,3.88,£11-15
56,30,509,600,1.16,£5-7
57,677,268,720,2.35,£6-9
58,16,372,780,1.5,£5-8
59,196,360,1260,2.21,£7-10
60,199,126,780,1.03,£5-7
61,591,167,1860,4.33,£11-15
62,337,661,240,0.44,£5-6
63,695,574,480,1.2,£5-6
64,732,52,1440,1.81,£7-10
65,352,272,600,1.38,£5-7
66,266,157,480,0.67,£5-6
67,658,267,720,2.15,£6-8
68,82,380,1500,3.22,£9-12
69,195,553,2340,3.86,£12-16
70,272,227,1500,2.91,£9-12
71,186,761,1560,6.06,£12-17
72,216,356,360,0.6,£5-6
73,102,140,720,1.12,£5-7
74,141,14,1560,2.37,£8-11
75,55,393,480,1.0,£5-6
76,25,431,600,1.21,£5-7
77,732,386,2220,4.36,£12-16
78,803,243,1380,3.45,£9-12
79,303,166,240,0.11,£5-6
80,443,217,780,1.19,£5-7
81,90,540,300,0.73,£5-6
82,613,687,240,0.57,£5-6
83,646,411,1080,2.22,£7-10
84,331,244,1380,2.27,£8-10
85,503,478,240,0.21,£5-6
86,272,160,960,1.49,£6-8
87,465,73,600,1.27,£5-7
88,674,810,1740,3.57,£10-14
89,730,682,420,1.11,£5-6
90,163,584,900,2.17,£6-9
91,140,537,780,1.42,£5-7
92,83,82,960,1.28,£6-8
93,266,348,960,2.23,£7-9
94,680,618,660,1.41,£5-7
95,104,229,780,2.29,£6-9
96,481,532,540,1.91,£5-7
97,645,197,360,0.86,£5-6
98,18,57,600,0.89,£5-6
99,191,762,600,1.57,£5-7
100,513,716,660,1.75,£6-8
101,486,232,1380,2.69,£8-11
102,733,191,240,0.22,£5-6
103,239,21,480,0.74,£5-6
104,207,723,1380,3.36,£9-12
105,25,545,540,1.21,£5-6
106,514,541,780,1.12,£5-7
107,202,229,900,2.84,£7-10
108,199,230,720,1.2,£5-7
109,272,706,900,2.04,£6-9
110,214,341,1320,1.81,£7-10
111,442,661,300,0.71,£5-6
112,133,225,480,0.75,£5-6
113,95,401,600,1.42,£5-7
114,178,172,600,1.65,£5-7
115,150,64,1560,2.95,£9-12
116,23,18,420,0.53,£5-6
117,367,286,540,0.99,£5-6
118,291,341,1080,2.15,£7-10
119,193,252,480,0.84,£5-6
120,745,395,600,1.77,£5-7
121,527,293,240,0.53,£5-6
122,680,744,360,1.25,£5-6
123,650,379,240,0.77,£5-6
124,589,216,240,0.32,£5-6
125,119,386,1500,2.52,£8-11
126,155,780,780,1.99,£6-8
127,104,154,1140,2.54,£7-10
128,270,360,480,1.56,£5-7
129,520,204,1440,3.71,£9-13
130,32,132,300,0.73,£5-6
131,47,589,1200,3.48,£9-12
132,745,670,720,2.51,£6-9
133,95,3,480,0.97,£5-6
134,218,768,840,2.18,£6-9
135,183,74,240,0.59,£5-6
136,625,624,600,1.58,£5-7
