stop_id	stop_code	stop_name	stop_desc	platform_code	platform_name	stop_lat	stop_lon	zone_id	stop_url	level_id	location_type	parent_station	wheelchair_boarding	stop_address
place-nuniv		Northeastern University				42.340401	-71.088806				1		1	"Huntington Ave and Opera Pl, Boston, MA, 02115"
place-ogmnl		Oak Grove				42.43668	-71.071097				1		1	"Washington St at Winter St, Malden, MA 02148"
place-orhte		Orient Heights				42.386867	-71.004736				1		1	"1000 Bennington St, East Boston, MA 02128"
place-pktrm		Park Street				42.356395	-71.062424				1		1	"Tremont St and Winter St, Boston, MA 02108"
place-plsgr		Pleasant Street				42.351521	-71.118889				1		2	"Commonwealth Ave and Pleasant St, Boston, MA 02215"
place-portr		Porter				42.3884	-71.119149				1		1	"1899 Massachusetts Ave, Cambridge, MA 02140"
place-prmnl		Prudential				42.34557	-71.081696				1		1	"Huntington Ave and Belvidere St, Boston, MA 02199"
place-qamnl		Quincy Adams				42.233391	-71.007153				1		1	"Burgin Pkwy and Centre St, Quincy, MA 02169"
place-qnctr		Quincy Center				42.251809	-71.005409				1		1	"175 Thomas E Burgin Pkwy, Quincy, MA 02169"
place-rbmnl		Revere Beach				42.407843	-70.992533				1		1	"220 Shirley Ave, Revere, MA"
place-rcmnl		Roxbury Crossing				42.331397	-71.095451				1		1	"1400 Tremont St, Roxbury, MA"
place-river		Riverside				42.337059	-71.251742				1		1	"367 Grove St, Newton, MA 02466"
place-rsmnl		Reservoir				42.335027	-71.148952				1		1	"401 Chestnut Hill Ave, Brookline, MA, 02445"
place-rugg		Ruggles				42.336377	-71.088961				1		1	"1150 Tremont St, Roxbury, MA 02120"
place-rvrwy		Riverway				42.331684	-71.111931				1		2	"S Huntington Ave at Huntington Ave, Boston"
place-sbmnl		Stony Brook				42.317062	-71.104248				1		1	"100 Boylston St, Jamaica Plain, MA"
place-sdmnl		Suffolk Downs				42.390501	-70.997123				1		1	"1230 Bennington St, East Boston, MA 02128"
place-shmnl		Savin Hill				42.31129	-71.053331				1		1	"125 Savin Hill Ave, Dorchester, MA 02124"
place-smary		Saint Marys Street				42.345974	-71.107353				1		1	"Beacon St and Saint Mary's St, Boston, MA"
place-smmnl		Shawmut				42.293126	-71.065738				1		1	"Dayton St and Clementine Park, Dorchester, MA 02124"
place-sougr		South Street				42.3396	-71.157661				1		2	
place-spmnl		Science Park				42.366664	-71.067666				1		1	"Leverett Circle and Nashua St, Boston, MA 02114"
place-sstat		South Station				42.352271	-71.055242				1		1	"Atlantic Ave and Summer St, Boston, MA 02110"
place-state		State Street				42.358978	-71.057598				1		1	"200 Washington St, Boston, MA"
place-sthld		Sutherland Road				42.341614	-71.146202				1		2	"Commonwealth Ave and Sutherland Rd, Boston, MA"
place-stplb		Saint Paul Street				42.3512	-71.116104				1		2	"Commonwealth Ave and Saint Paul St, Boston, MA 02215"
place-stpul		Saint Paul Street				42.343327	-71.116997				1		2	"Beacon St and Saint Paul St, Brookline, MA 02446"
place-sull		Sullivan Square				42.383975	-71.076994				1		1	"Maffa Way and Cambridge St, Charlestown, MA 02129"
place-sumav		Summit Avenue				42.34111	-71.12561				1		2	"Beacon St and Summit Ave, Brookline, MA"
place-symcl		Symphony				42.342687	-71.085056				1		2	"Massachusetts Ave and Huntington Ave, Boston, MA"
place-tapst		Tappan Street				42.338459	-71.138702				1		2	"Beacon St and Tappan St, Brookline, MA"
place-tumnl		Tufts Medical Center				42.349662	-71.063917				1		1	"750 Washington St, Boston, MA"
place-valrd		Valley Road				42.268322	-71.081566				1		2	"291 Valley Rd, Milton, MA 02186"
place-waban		Waban				42.325943	-71.230728				1		2	"Beacon St and Waban Sq, Newton, MA 02468"
place-wascm		Washington Street				42.343864	-71.142853				1		1	"Commonwealth Ave and Washington St, Boston, MA"
place-welln		Wellington				42.40237	-71.077082				1		1	"Revere Beach Pkwy and Rivers Edge Dr, Medford, MA 02155"
place-wimnl		Wood Island				42.37964	-71.022865				1		1	"450 Bennington St, East Boston, MA"
place-wlsta		Wollaston				42.266514	-71.020337				1		2	"90 Woodbine St, Quincy, MA 02171"
place-wondl		Wonderland				42.41342	-70.991648				1		1	"1300 North Shore Rd, Revere, MA 02151"
place-woodl		Woodland				42.333374	-71.244301				1		1	"1940 Washington St, Newton, MA 02466"
place-wrnst		Warren Street				42.348343	-71.140457				1		2	"Commonwealth Ave and Warren St, Boston, MA"
place-wtcst		World Trade Center				42.34863	-71.04246				1		1	"Congress St and World Trade Center Ave, Boston, MA"
place-chels		Chelsea				42.397071	-71.042102				1		1	
place-belsq		Bellingham Square				42.395438	-71.033884				1		1	
place-boxdt		Box District				42.394049	-71.028365				1		1	
place-estav		Eastern Avenue				42.388374	-71.023859				1		1	
