station__id,station__name,station__terminalName,station__lat,station__long,station__installed,station__locked,station__installDate,station__removalDate,station__temporary
58,"New Inn Yard, Shoreditch",1032,51.52452699,-0.079248081,TRUE,FALSE,1.27877E+12,,FALSE
60,"Lisson Grove, St. John's Wood",1030,51.52644828,-0.172190727,TRUE,FALSE,1.27877E+12,,FALSE
61,"Great Dover Street, The Borough",1017,51.49738251,-0.089446947,TRUE,FALSE,1.27877E+12,,FALSE
62,"Cotton Garden Estate, Kennington",990,51.4907579,-0.106323685,TRUE,FALSE,1.27877E+12,,FALSE
63,"Murray Grove , Hoxton",989,51.53089041,-0.089782579,TRUE,FALSE,1.27877E+12,,FALSE
64,"William IV Street, Strand",1028,51.50946212,-0.124749274,TRUE,FALSE,1.27877E+12,,FALSE
65,"Gower Place , Euston",969,51.52522753,-0.13518856,TRUE,FALSE,1.27884E+12,,FALSE
66,"Holborn Circus, Holborn",982,51.51795029,-0.108657431,TRUE,FALSE,1.27885E+12,,FALSE
67,"Hatton Garden, Holborn",985,51.51882555,-0.108028472,TRUE,FALSE,1.27885E+12,,FALSE
68,"Theobald's Road , Holborn",975,51.52059681,-0.116688468,TRUE,FALSE,1.27886E+12,,FALSE
69,"Euston Road, Euston",983,51.5262363,-0.134407652,TRUE,FALSE,1.27886E+12,,FALSE
70,"Calshot Street , King's Cross",1066,51.53136059,-0.117069978,TRUE,FALSE,1.27886E+12,,FALSE
71,"Newgate Street , St. Paul's",1074,51.5154186,-0.098850915,TRUE,FALSE,1.27892E+12,,FALSE
72,"Farringdon Lane, Clerkenwell",3432,51.52352001,-0.108340165,TRUE,FALSE,1.27894E+12,,FALSE
73,"Old Street Station, St. Luke's",1064,51.52572618,-0.088486188,TRUE,FALSE,1.27894E+12,,FALSE
74,"Vauxhall Cross, Vauxhall",1000,51.48591714,-0.124469948,TRUE,FALSE,1.27894E+12,,FALSE
75,"Torrens Street, Angel",1060,51.53219984,-0.105480698,TRUE,FALSE,1.27895E+12,,FALSE
76,"Longford Street, The Regent's Park",976,51.52559505,-0.144083893,TRUE,FALSE,1.27895E+12,,FALSE
77,"Russell Square Station, Bloomsbury",978,51.52341837,-0.124121774,TRUE,FALSE,1.27895E+12,,FALSE
78,"Sadlers Sports Centre, Finsbury",3433,51.52486887,-0.099489485,TRUE,FALSE,1.27895E+12,,FALSE
79,"Arundel Street, Temple",3455,51.511726,-0.11385596,TRUE,FALSE,1.50902E+12,,FALSE
80,"Webber Street , Southwark",3448,51.50069361,-0.102091246,TRUE,FALSE,1.27895E+12,,FALSE
81,"Great Titchfield Street, Fitzrovia",3450,51.52025302,-0.141327271,TRUE,FALSE,1.27901E+12,,FALSE
82,"Chancery Lane, Holborn",3453,51.514274,-0.111257,TRUE,FALSE,1.27902E+12,,FALSE
83,"Panton Street, West End",3452,51.50963938,-0.131510949,TRUE,FALSE,1.27902E+12,,FALSE
84,"Breams Buildings, Holborn",3449,51.51593725,-0.111778348,TRUE,FALSE,1.27902E+12,,FALSE
85,"Tanner Street, Bermondsey",994,51.50064702,-0.078600401,TRUE,FALSE,1.27903E+12,,FALSE
86,"Sancroft Street, Vauxhall",3434,51.48947903,-0.115156562,TRUE,FALSE,1.27903E+12,,FALSE
87,"Devonshire Square, Liverpool Street",3438,51.51646835,-0.079684557,TRUE,FALSE,1.27903E+12,,FALSE
88,"Bayley Street , Bloomsbury",1006,51.51858757,-0.132053392,TRUE,FALSE,1.27903E+12,,FALSE
89,"Tavistock Place, Bloomsbury",3439,51.5262503,-0.123509611,TRUE,FALSE,1.27903E+12,,FALSE
90,"Harrington Square 1, Camden Town",1038,51.53301907,-0.139174593,TRUE,FALSE,1.27903E+12,,FALSE
91,"Walnut Tree Walk, Vauxhall",1076,51.49368637,-0.111014912,TRUE,FALSE,1.27904E+12,,FALSE
92,"Borough Road, Elephant & Castle",1082,51.49889832,-0.100440521,TRUE,FALSE,1.27904E+12,,FALSE
93,"Cloudesley Road, Angel",2586,51.53440868,-0.109025404,TRUE,FALSE,1.27904E+12,,FALSE
94,"Bricklayers Arms, Borough",1070,51.49506109,-0.085814489,TRUE,FALSE,1.27904E+12,,FALSE
95,"Aldersgate Street, Barbican",1065,51.5208417,-0.097340162,TRUE,FALSE,1.2791E+12,,FALSE
96,"Falkirk Street, Hoxton",1047,51.53095071,-0.078505384,TRUE,FALSE,1.2791E+12,,FALSE
97,"Gloucester Road (North), Kensington",3447,51.49792478,-0.183834706,TRUE,FALSE,1.2791E+12,,FALSE
98,"Hampstead Road, Euston",972,51.52554222,-0.138231303,TRUE,FALSE,1.2791E+12,,FALSE
99,"Old Quebec Street, Marylebone",1085,51.51457763,-0.158264483,TRUE,FALSE,1.2791E+12,,FALSE
100,"Albert Embankment, Vauxhall",1059,51.49043573,-0.122806861,TRUE,FALSE,1.2791E+12,,FALSE
101,"Queen Street 1, Bank",999,51.51155322,-0.0929401,TRUE,FALSE,1.2791E+12,,FALSE
102,"Jewry Street, Aldgate",1045,51.51340693,-0.076793375,TRUE,FALSE,1.2791E+12,,FALSE
103,"Vicarage Gate, Kensington",3441,51.50472376,-0.192538767,TRUE,FALSE,1.2791E+12,,FALSE
