,estimate,trip,pickup_estimate
11,"{'surge_confirmation_href': None, 'high_estimate': 12, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 9, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 5.3, 'display_amount': '3.98-5.3', 'display_name': 'Distance', 'low_amount': 3.98}, {'high_amount': 3.59, 'display_amount': '2.7-3.59', 'display_name': 'Time', 'low_amount': 2.7}], 'surge_multiplier': 1.0, 'display': '£9-12', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1200, 'distance_estimate': 3.53}",4
12,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/ed78e949-a780-4f40-a1e7-3d85a214b5d7', 'high_estimate': 17, 'expires_at': 1542211274, 'surge_confirmation_id': 'ed78e949-a780-4f40-a1e7-3d85a214b5d7', 'minimum': 6, 'low_estimate': 13, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 6.21, 'display_amount': '4.66-6.21', 'display_name': 'Distance', 'low_amount': 4.66}, {'high_amount': 2.83, 'display_amount': '2.25-2.83', 'display_name': 'Surge x1.2', 'low_amount': 2.25}, {'high_amount': 5.44, 'display_amount': '4.08-5.44', 'display_name': 'Time', 'low_amount': 4.08}], 'surge_multiplier': 1.2, 'display': '£13-17', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1800, 'distance_estimate': 4.14}",13
13,"{'surge_confirmation_href': None, 'high_estimate': 14, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 10, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 6.25, 'display_amount': '4.69-6.25', 'display_name': 'Distance', 'low_amount': 4.69}, {'high_amount': 4.9, 'display_amount': '3.68-4.9', 'display_name': 'Time', 'low_amount': 3.68}], 'surge_multiplier': 1.0, 'display': '£10-14', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1620, 'distance_estimate': 4.17}",5
14,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.7, 'display_amount': '1.28-1.7', 'display_name': 'Distance', 'low_amount': 1.28}, {'high_amount': 1.97, 'display_amount': '1.48-1.97', 'display_name': 'Time', 'low_amount': 1.48}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 660, 'distance_estimate': 1.14}",7
15,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.68, 'display_amount': '2-2.68', 'display_name': 'Distance', 'low_amount': 2.0}, {'high_amount': 2.0, 'display_amount': '1.5-2', 'display_name': 'Time', 'low_amount': 1.5}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 660, 'distance_estimate': 1.78}",8
16,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.33, 'display_amount': '1.75-2.33', 'display_name': 'Distance', 'low_amount': 1.75}, {'high_amount': 1.64, 'display_amount': '1.23-1.64', 'display_name': 'Time', 'low_amount': 1.23}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 540, 'distance_estimate': 1.55}",7
17,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/0e4d39d5-8f3a-427b-ab37-594c0bf0c0b6', 'high_estimate': 13, 'expires_at': 1542211279, 'surge_confirmation_id': '0e4d39d5-8f3a-427b-ab37-594c0bf0c0b6', 'minimum': 7, 'low_estimate': 10, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.78, 'display_amount': '2.83-3.78', 'display_name': 'Distance', 'low_amount': 2.83}, {'high_amount': 2.91, 'display_amount': '2.37-2.91', 'display_name': 'Surge x1.3', 'low_amount': 2.37}, {'high_amount': 3.43, 'display_amount': '2.57-3.43', 'display_name': 'Time', 'low_amount': 2.57}], 'surge_multiplier': 1.3, 'display': '£10-13', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1140, 'distance_estimate': 2.52}",6
18,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/c566efd4-33a8-4030-a157-9c3ccbc609b9', 'high_estimate': 10, 'expires_at': 1542211281, 'surge_confirmation_id': 'c566efd4-33a8-4030-a157-9c3ccbc609b9', 'minimum': 7, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.94, 'display_amount': '1.45-1.94', 'display_name': 'Distance', 'low_amount': 1.45}, {'high_amount': 2.63, 'display_amount': '2.22-2.63', 'display_name': 'Surge x1.4', 'low_amount': 2.22}, {'high_amount': 2.14, 'display_amount': '1.61-2.14', 'display_name': 'Time', 'low_amount': 1.61}], 'surge_multiplier': 1.4, 'display': '£7-10', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 1.29}",11
19,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.59, 'display_amount': '1.95-2.59', 'display_name': 'Distance', 'low_amount': 1.95}, {'high_amount': 2.16, 'display_amount': '1.62-2.16', 'display_name': 'Time', 'low_amount': 1.62}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 1.73}",3
20,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.33, 'display_amount': '1.74-2.33', 'display_name': 'Distance', 'low_amount': 1.74}, {'high_amount': 2.41, 'display_amount': '1.8-2.41', 'display_name': 'Time', 'low_amount': 1.8}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 780, 'distance_estimate': 1.55}",10
